timestamp,roll,pitch,yaw
1533862913146501,-0.982019,-0.21488,-0.921181
1533862913176434,-0.983528,-0.214361,-0.921195
1533862913191400,-0.984865,-0.213868,-0.921175
1533862913206355,-0.985706,-0.213821,-0.92133
1533862913231253,-0.986201,-0.213356,-0.921981
1533862913251200,-0.986402,-0.213049,-0.922332
1533862913266159,-0.987104,-0.213006,-0.922623
1533862913329001,-0.987253,-0.21306,-0.922633
1533862913329993,-0.986562,-0.212705,-0.922368
1533862913337973,-0.985711,-0.212694,-0.922068
1533862913349013,-0.985302,-0.211864,-0.922104
1533862913374869,-0.985822,-0.211338,-0.921958
1533862913395813,-0.98701,-0.211247,-0.92205
1533862913417766,-0.987873,-0.210412,-0.922123
1533862913456744,-0.987595,-0.20952,-0.921881
1533862913470613,-0.986926,-0.209541,-0.92176
1533862913471611,-0.986421,-0.209486,-0.921394
1533862913491586,-0.986389,-0.209501,-0.921362
1533862913513499,-0.986332,-0.209597,-0.921301
1533862913531450,-0.987411,-0.209493,-0.921561
1533862913551401,-0.987283,-0.209099,-0.921723
1533862913569349,-0.986936,-0.20915,-0.921649
1533862913591295,-0.986936,-0.20915,-0.921649
1533862913611240,-0.9877,-0.208823,-0.921603
1533862913636218,-0.9877,-0.208823,-0.921603
1533862913651165,-0.98754,-0.209166,-0.921566
1533862913671116,-0.98694,-0.20941,-0.921505
1533862913689064,-0.986627,-0.209439,-0.921602
1533862913712003,-0.987134,-0.209045,-0.921713
1533862913730952,-0.987283,-0.209099,-0.921723
1533862913748904,-0.986898,-0.209355,-0.922015
1533862913771842,-0.986215,-0.209507,-0.922149
1533862913790803,-0.985717,-0.209237,-0.922347
1533862913808774,-0.9854,-0.209006,-0.922588
1533862913831682,-0.984082,-0.209158,-0.922774
1533862913858614,-0.981962,-0.209595,-0.922832
1533862913869590,-0.978902,-0.209879,-0.922507
1533862913891535,-0.975,-0.210157,-0.92189
1533862913914462,-0.970646,-0.21113,-0.92135
1533862913929441,-0.966629,-0.212183,-0.921149
1533862913951363,-0.966718,-0.213028,-0.919976
1533862913972309,-0.9714,-0.212446,-0.918902
1533862913989268,-0.977436,-0.211219,-0.918246
1533862914017245,-0.980829,-0.210376,-0.918101
1533862914032205,-0.981995,-0.209697,-0.91847
1533862914049158,-0.982583,-0.209373,-0.919208
1533862914071101,-0.983512,-0.209207,-0.919594
1533862914093054,-0.984777,-0.209389,-0.920029
1533862914108999,-0.986074,-0.209555,-0.920496
1533862914131939,-0.986042,-0.209571,-0.920463
1533862914152885,-0.986191,-0.209625,-0.920473
1533862914173829,-0.986191,-0.209625,-0.920473
1533862914191777,-0.986191,-0.209625,-0.920473
1533862914212722,-0.985767,-0.209395,-0.920195
1533862914233665,-0.985767,-0.209395,-0.920195
1533862914251618,-0.985916,-0.20945,-0.920205
1533862914274557,-0.985767,-0.209395,-0.920195
1533862914293508,-0.985908,-0.209411,-0.919237
1533862914311474,-0.986495,-0.210039,-0.918563
1533862914334410,-0.98686,-0.210122,-0.9181
1533862914353349,-0.987033,-0.209647,-0.917883
1533862914371298,-0.988459,-0.20996,-0.917648
1533862914394236,-0.990074,-0.211032,-0.91688
1533862914414185,-0.990964,-0.21176,-0.916363
1533862914437157,-0.99141,-0.212118,-0.916243
1533862914453078,-0.992722,-0.212359,-0.916031
1533862914476018,-0.994226,-0.212236,-0.916028
1533862914496964,-0.995394,-0.211761,-0.916119
1533862914512918,-0.99743,-0.21117,-0.916123
1533862914535857,-0.999429,-0.210336,-0.916241
1533862914556801,-1.00318,-0.209052,-0.917035
1533862914572762,-1.00764,-0.208263,-0.917429
1533862914595698,-1.01106,-0.208214,-0.917556
1533862914616641,-1.0132,-0.208429,-0.917489
1533862914633596,-1.01381,-0.207733,-0.917311
1533862914655539,-1.01451,-0.206983,-0.917511
1533862914676515,-1.01564,-0.20687,-0.917272
1533862914693437,-1.01636,-0.207352,-0.91714
1533862914721388,-1.01636,-0.207352,-0.91714
1533862914737320,-1.01617,-0.207058,-0.917105
1533862914753282,-1.01561,-0.206503,-0.916171
1533862914776215,-1.01566,-0.206419,-0.915269
1533862914804143,-1.01596,-0.206273,-0.914753
1533862914813115,-1.01577,-0.206441,-0.914142
1533862914836064,-1.01484,-0.207311,-0.913839
1533862914858992,-1.0139,-0.208375,-0.913933
1533862914872958,-1.01288,-0.209157,-0.913828
1533862914895894,-1.01288,-0.209157,-0.913828
1533862914917835,-1.01221,-0.208974,-0.914129
1533862914932795,-1.01148,-0.208696,-0.913833
1533862914955745,-1.01025,-0.208356,-0.913308
1533862914978690,-1.00942,-0.207422,-0.912534
1533862914992637,-1.00878,-0.206724,-0.911654
1533862915015578,-1.00828,-0.206281,-0.910496
1533862915038513,-1.0082,-0.206014,-0.909335
1533862915052477,-1.00704,-0.205917,-0.90791
1533862915075414,-1.00529,-0.206332,-0.906133
1533862915098354,-1.00308,-0.206726,-0.904584
1533862915119297,-1.00133,-0.206493,-0.902992
1533862915136251,-1.00016,-0.205786,-0.900762
1533862915158193,-0.997423,-0.205521,-0.898045
1533862915173153,-0.993149,-0.205108,-0.895165
1533862915196094,-0.99015,-0.204843,-0.891635
1533862915218033,-0.984986,-0.20469,-0.888671
1533862915232993,-0.979924,-0.203624,-0.886682
1533862915255943,-0.979117,-0.202534,-0.885527
1533862915277875,-0.980387,-0.201267,-0.885231
1533862915299814,-0.980519,-0.199709,-0.884771
1533862915315788,-0.980387,-0.198243,-0.883907
1533862915338709,-0.980221,-0.197639,-0.88323
1533862915359691,-0.98037,-0.19769,-0.88324
1533862915375612,-0.981315,-0.198091,-0.883344
1533862915398553,-0.98193,-0.197762,-0.883296
1533862915419493,-0.982737,-0.197086,-0.882645
1533862915435737,-0.9828,-0.195754,-0.88238
1533862915458662,-0.982601,-0.193493,-0.882864
1533862915486591,-0.982615,-0.190993,-0.883165
1533862915495563,-0.982934,-0.187752,-0.883272
1533862915518502,-0.982547,-0.184246,-0.883231
1533862915539446,-0.983211,-0.181346,-0.883393
1533862915555551,-0.984649,-0.179526,-0.883591
1533862915578343,-0.985886,-0.179106,-0.88418
1533862915599286,-0.987338,-0.179818,-0.884375
1533862915616252,-0.988651,-0.18164,-0.884765
1533862915638182,-0.989655,-0.183952,-0.885354
1533862915659129,-0.990345,-0.186054,-0.885505
1533862915676081,-0.991021,-0.187839,-0.885661
1533862915698026,-0.991306,-0.18938,-0.885712
1533862915727142,-0.991028,-0.190496,-0.886042
1533862915734924,-0.990882,-0.190691,-0.886563
1533862915765853,-0.990806,-0.190652,-0.887032
1533862915780801,-0.990833,-0.190161,-0.887768
1533862915795761,-0.990671,-0.189382,-0.888469
1533862915818701,-0.990597,-0.188686,-0.889116
1533862915840640,-0.990858,-0.187883,-0.889562
1533862915855619,-0.990782,-0.187396,-0.889786
1533862915878539,-0.991191,-0.187302,-0.890066
1533862915900480,-0.99178,-0.187894,-0.890347
1533862915915441,-0.991724,-0.18799,-0.890286
1533862915938413,-0.99218,-0.187742,-0.890486
1533862915960323,-0.992329,-0.187794,-0.890496
1533862915983259,-0.992426,-0.18728,-0.89076
1533862915998220,-0.992428,-0.186623,-0.890938
1533862916021162,-0.992034,-0.18591,-0.8914
1533862916043099,-0.992895,-0.184856,-0.891919
1533862916058059,-0.994328,-0.183181,-0.892238
1533862916080998,-0.994384,-0.181716,-0.892519
1533862916094960,-0.993091,-0.180627,-0.893316
1533862916117899,-0.992686,-0.179332,-0.894067
1533862916140837,-0.99272,-0.17813,-0.894846
1533862916154800,-0.992721,-0.177134,-0.895983
1533862916178736,-0.992425,-0.176486,-0.897205
1533862916208657,-0.992705,-0.176116,-0.898716
1533862916221625,-0.993377,-0.17528,-0.900377
1533862916238577,-0.99456,-0.174314,-0.901882
1533862916260518,-0.995553,-0.17371,-0.903311
1533862916281461,-0.995879,-0.173134,-0.904609
1533862916298417,-0.995729,-0.172747,-0.90542
1533862916320358,-0.994456,-0.172685,-0.906031
1533862916342474,-0.99252,-0.172645,-0.906648
1533862916358263,-0.991477,-0.1724,-0.907362
1533862916381224,-0.992005,-0.172567,-0.908016
1533862916402148,-0.992615,-0.173085,-0.908332
1533862916418101,-0.992887,-0.173713,-0.908706
1533862916441063,-0.99269,-0.174261,-0.909019
1533862916461992,-0.992943,-0.174774,-0.909112
1533862916478115,-0.993089,-0.175275,-0.909368
1533862916500875,-0.993179,-0.175423,-0.909316
1533862916521819,-0.992811,-0.175733,-0.909874
1533862916538772,-0.992832,-0.176032,-0.910687
1533862916561711,-0.993666,-0.17559,-0.911543
1533862916581659,-0.993832,-0.174723,-0.912021
1533862916598613,-0.993445,-0.174659,-0.912442
1533862916620558,-0.992438,-0.174975,-0.9129
1533862916641518,-0.991285,-0.175239,-0.913347
1533862916658454,-0.990791,-0.175161,-0.913933
1533862916680397,-0.990791,-0.175161,-0.913933
1533862916703333,-0.990791,-0.175161,-0.913933
1533862916718293,-0.990939,-0.175214,-0.913943
1533862916741232,-0.990088,-0.17539,-0.91416
1533862916763173,-0.988931,-0.175916,-0.914324
1533862916778133,-0.987845,-0.176217,-0.914301
1533862916801071,-0.986474,-0.176469,-0.914399
1533862916823023,-0.985623,-0.176462,-0.914086
1533862916845952,-0.985116,-0.176668,-0.91357
1533862916860912,-0.98207,-0.178052,-0.913293
1533862916889961,-0.979776,-0.180372,-0.911712
1533862916897814,-0.9805,-0.18297,-0.908953
1533862916920752,-0.983369,-0.185221,-0.906586
1533862916943062,-0.984922,-0.186963,-0.905486
1533862916957859,-0.985472,-0.18758,-0.9056
1533862916980798,-0.98619,-0.186666,-0.906497
1533862917003736,-0.987585,-0.185518,-0.907948
1533862917017698,-0.98911,-0.1845,-0.909522
1533862917040645,-0.98974,-0.18363,-0.910869
1533862917063675,-0.990245,-0.182898,-0.911814
1533862917077539,-0.990476,-0.182253,-0.912345
1533862917100481,-0.991214,-0.181926,-0.912964
1533862917123416,-0.992599,-0.182176,-0.913392
1533862917137379,-0.99372,-0.182043,-0.913979
1533862917160321,-0.995094,-0.181716,-0.914559
1533862917183263,-0.996425,-0.181354,-0.914828
1533862917204200,-0.997154,-0.181237,-0.915023
1533862917221162,-0.99727,-0.181307,-0.915001
1533862917243097,-0.996738,-0.181324,-0.914737
1533862917264043,-0.996246,-0.180609,-0.914685
1533862917280994,-0.996397,-0.179689,-0.914882
1533862917302936,-0.996981,-0.17933,-0.914674
1533862917323879,-0.996854,-0.178942,-0.914701
1533862917340840,-0.996012,-0.178727,-0.914813
1533862917363773,-0.995434,-0.178373,-0.91506
1533862917391702,-0.995707,-0.177595,-0.914697
1533862917400684,-0.996285,-0.177239,-0.914351
1533862917422615,-0.996285,-0.177239,-0.914351
1533862917444584,-0.996285,-0.177239,-0.914351
1533862917460526,-0.996285,-0.177239,-0.914351
1533862917483453,-0.996944,-0.176973,-0.913812
1533862917504497,-0.99744,-0.177049,-0.913226
1533862917520357,-0.996733,-0.177092,-0.912921
1533862917543306,-0.995603,-0.176644,-0.912621
1533862917564327,-0.994854,-0.176127,-0.912436
1533862917581192,-0.994854,-0.176127,-0.912436
1533862917603133,-0.99497,-0.176197,-0.912414
1533862917626071,-0.99497,-0.176197,-0.912414
1533862917641031,-0.99497,-0.176197,-0.912414
1533862917664032,-0.99497,-0.176197,-0.912414
1533862917691961,-0.994611,-0.175931,-0.912337
1533862917707918,-0.994115,-0.175929,-0.912245
1533862917722879,-0.994022,-0.176045,-0.912011
1533862917745813,-0.994014,-0.175539,-0.911624
1533862917759776,-0.993691,-0.175252,-0.911719
1533862917783712,-0.993174,-0.175325,-0.911736
1533862917805653,-0.99263,-0.175475,-0.911723
1533862917820613,-0.991189,-0.175507,-0.911759
1533862917843552,-0.989469,-0.175812,-0.911774
1533862917865494,-0.987382,-0.176242,-0.911819
1533862917880454,-0.984678,-0.176806,-0.911511
1533862917903392,-0.981523,-0.17715,-0.911437
1533862917925333,-0.977986,-0.178216,-0.911221
1533862917940294,-0.975333,-0.179612,-0.910535
1533862917969219,-0.976757,-0.180745,-0.908004
1533862917986185,-0.981277,-0.181174,-0.905086
1533862918000134,-0.984532,-0.181634,-0.904001
1533862918023073,-0.986375,-0.181973,-0.903667
1533862918046011,-0.986239,-0.182238,-0.903653
1533862918066964,-0.983635,-0.181966,-0.904303
1533862918082912,-0.980143,-0.181571,-0.905148
1533862918105851,-0.976514,-0.18163,-0.906239
1533862918126794,-0.973084,-0.181856,-0.906983
1533862918143749,-0.970271,-0.182223,-0.90726
1533862918165690,-0.970889,-0.18243,-0.906791
1533862918186634,-0.973203,-0.182007,-0.906287
1533862918203589,-0.975573,-0.181934,-0.906096
1533862918225534,-0.976742,-0.182042,-0.905775
1533862918246518,-0.976011,-0.182556,-0.905697
1533862918263429,-0.974518,-0.182875,-0.906082
1533862918285373,-0.973122,-0.182889,-0.906305
1533862918307312,-0.971907,-0.182933,-0.906709
1533862918323284,-0.970315,-0.182785,-0.907148
1533862918346209,-0.967993,-0.18289,-0.907658
1533862918367166,-0.966121,-0.183222,-0.907799
1533862918383126,-0.966153,-0.183206,-0.907832
1533862918406049,-0.968887,-0.182822,-0.907204
1533862918426995,-0.974025,-0.182348,-0.90642
1533862918442950,-0.977142,-0.182339,-0.906162
1533862918465888,-0.978194,-0.182558,-0.906395
1533862918486832,-0.977999,-0.182391,-0.906748
1533862918502790,-0.977388,-0.182242,-0.907358
1533862918525728,-0.976906,-0.182033,-0.907694
1533862918546675,-0.975975,-0.181857,-0.908255
1533862918553653,-0.974244,-0.181712,-0.908824
1533862918570610,-0.972961,-0.181533,-0.909167
1533862918591645,-0.972904,-0.181629,-0.909107
1533862918613573,-0.973843,-0.181066,-0.909392
1533862918628533,-0.974749,-0.180259,-0.909791
1533862918651480,-0.975293,-0.179393,-0.909829
1533862918673413,-0.975497,-0.17935,-0.9099
1533862918688584,-0.974158,-0.179266,-0.910181
1533862918711531,-0.972445,-0.178805,-0.910103
1533862918733251,-0.971198,-0.17887,-0.910334
1533862918748437,-0.970598,-0.179303,-0.910662
1533862918778231,-0.970122,-0.179436,-0.91018
1533862918794145,-0.971791,-0.179239,-0.909163
1533862918809111,-0.976182,-0.178463,-0.907926
1533862918831046,-0.980392,-0.17758,-0.907057
1533862918853982,-0.982783,-0.177113,-0.906911
1533862918869148,-0.983816,-0.176699,-0.907155
1533862918890886,-0.98467,-0.175464,-0.907932
1533862918914058,-0.987035,-0.174413,-0.908867
1533862918928972,-0.990204,-0.173527,-0.910062
1533862918951724,-0.992678,-0.172688,-0.9111
1533862918973669,-0.994002,-0.171742,-0.911664
1533862918988820,-0.995042,-0.171593,-0.911773
1533862919011768,-0.995216,-0.171568,-0.911814
1533862919033502,-0.994617,-0.171625,-0.911345
1533862919048462,-0.99346,-0.171444,-0.911405
1533862919071403,-0.992326,-0.171709,-0.911063
1533862919095374,-0.990904,-0.172452,-0.910411
1533862919109386,-0.98963,-0.172988,-0.909917
1533862919131414,-0.989239,-0.173264,-0.909378
1533862919153183,-0.989351,-0.173598,-0.909072
1533862919170137,-0.989326,-0.173936,-0.908896
1533862919191083,-0.989014,-0.173967,-0.908986
1533862919214022,-0.98921,-0.173867,-0.908918
1533862919229978,-0.988614,-0.17411,-0.908982
1533862919250925,-0.988197,-0.174388,-0.909089
1533862919273862,-0.98776,-0.174292,-0.90906
1533862919289830,-0.98776,-0.174292,-0.90906
1533862919310845,-0.988668,-0.174279,-0.90876
1533862919336790,-0.988781,-0.174613,-0.908454
1533862919357719,-0.988068,-0.174603,-0.90801
1533862919373676,-0.986996,-0.174777,-0.907736
1533862919393626,-0.985868,-0.175047,-0.907401
1533862919410577,-0.985029,-0.17536,-0.907086
1533862919431524,-0.984526,-0.174596,-0.906753
1533862919453630,-0.982633,-0.173902,-0.906773
1533862919471415,-0.979547,-0.174494,-0.906079
1533862919491361,-0.977242,-0.175664,-0.904932
1533862919514353,-0.977829,-0.176499,-0.903196
1533862919531254,-0.980286,-0.176594,-0.902151
1533862919551201,-0.982247,-0.17635,-0.901836
1533862919574141,-0.983269,-0.175877,-0.901939
1533862919591095,-0.983499,-0.175488,-0.902323
1533862919611041,-0.983981,-0.175351,-0.902945
1533862919633981,-0.985645,-0.175112,-0.903679
1533862919651932,-0.986873,-0.174779,-0.904387
1533862919670917,-0.986725,-0.174124,-0.90548
1533862919693857,-0.986174,-0.173617,-0.906432
1533862919711782,-0.986151,-0.173352,-0.907361
1533862919738703,-0.986556,-0.173127,-0.908179
1533862919753684,-0.987662,-0.172671,-0.90877
1533862919771612,-0.988344,-0.172775,-0.908506
1533862919791558,-0.988594,-0.173105,-0.90807
1533862919813499,-0.988142,-0.173404,-0.908006
1533862919831471,-0.987794,-0.174165,-0.908025
1533862919851401,-0.988014,-0.174511,-0.907556
1533862919873340,-0.988331,-0.17525,-0.907569
1533862919891301,-0.988902,-0.176054,-0.907429
1533862919911272,-0.988625,-0.176588,-0.90726
1533862919934181,-0.988311,-0.176884,-0.907067
1533862919952135,-0.987876,-0.177048,-0.906893
1533862919971081,-0.988402,-0.177556,-0.906586
1533862919994053,-0.988402,-0.177556,-0.906586
1533862920011971,-0.988402,-0.177556,-0.906586
1533862920030947,-0.988393,-0.1775,-0.906445
1533862920053863,-0.988116,-0.177851,-0.905748
1533862920073806,-0.986878,-0.178125,-0.9049
1533862920090788,-0.985909,-0.17824,-0.905003
1533862920113846,-0.985909,-0.17824,-0.905003
1533862920131649,-0.986761,-0.178504,-0.905168
1533862920152594,-0.986761,-0.178504,-0.905168
1533862920173542,-0.98644,-0.178478,-0.905118
1533862920191489,-0.986184,-0.178679,-0.904988
1533862920212698,-0.986184,-0.178679,-0.904988
1533862920233641,-0.986184,-0.178679,-0.904988
1533862920259573,-0.985816,-0.178806,-0.905017
1533862920272538,-0.985785,-0.178822,-0.904985
1533862920296474,-0.985932,-0.178875,-0.904996
1533862920311443,-0.985405,-0.178632,-0.905019
1533862920332377,-0.98445,-0.178351,-0.905155
1533862920353322,-0.983287,-0.178566,-0.905329
1533862920371275,-0.981992,-0.179126,-0.904816
1533862920392221,-0.981008,-0.179921,-0.90393
1533862920414177,-0.979604,-0.181915,-0.902839
1533862920432112,-0.977963,-0.185324,-0.902123
1533862920453055,-0.976048,-0.190116,-0.90148
1533862920474002,-0.975468,-0.195956,-0.901179
1533862920491952,-0.979949,-0.203473,-0.901488
1533862920514892,-0.991574,-0.213184,-0.902459
1533862920533843,-1.00862,-0.219368,-0.900781
1533862920551791,-1.01691,-0.222018,-0.896576
1533862920573741,-1.02022,-0.225494,-0.896426
1533862920593680,-1.02663,-0.226823,-0.896762
1533862920611632,-1.02922,-0.220282,-0.896281
1533862920634580,-1.02849,-0.206202,-0.897809
1533862920661545,-1.02393,-0.183887,-0.901911
1533862920671471,-1.01219,-0.151169,-0.904857
1533862920694410,-1.00304,-0.111273,-0.90525
1533862920713363,-1.00055,-0.0690664,-0.903478
1533862920731312,-1.00018,-0.0201061,-0.899758
1533862920761231,-0.999719,0.0340812,-0.893673
1533862920774196,-0.999941,0.0928164,-0.884851
1533862920791151,-1.00196,0.156997,-0.873372
1533862920821075,-1.00705,0.226387,-0.859647
1533862920834040,-1.01596,0.297224,-0.843978
1533862920851994,-1.02877,0.364764,-0.827212
1533862920874926,-1.04245,0.428907,-0.806981
1533862920894874,-1.05316,0.490786,-0.783041
1533862920911828,-1.05865,0.548186,-0.757321
1533862920933782,-1.05963,0.602069,-0.729831
1533862920953743,-1.06378,0.657337,-0.700259
1533862920971693,-1.06986,0.714258,-0.66838
1533862921001588,-1.0755,0.768503,-0.636955
1533862921013556,-1.07771,0.818697,-0.605063
1533862921036495,-1.07774,0.864794,-0.57338
1533862921054457,-1.07563,0.905096,-0.543134
1533862921075392,-1.07283,0.937139,-0.517904
1533862921091350,-1.06524,0.956148,-0.491518
1533862921114287,-1.04369,0.942922,-0.465234
1533862921136240,-1.03383,0.964926,-0.452875
1533862921151189,-1.02192,0.946109,-0.4213
1533862921174126,-1.01625,0.949616,-0.40951
1533862921195071,-1.01451,0.958584,-0.404922
1533862921212038,-1.01696,0.972404,-0.398758
1533862921233968,-1.00616,0.973508,-0.374184
1533862921255041,-1.01101,0.98853,-0.364819
1533862921277046,-1.01366,1.0039,-0.356865
1533862921292823,-1.01039,1.01986,-0.346187
1533862921315772,-1.00296,1.03442,-0.331296
1533862921336711,-0.994714,1.04629,-0.315305
1533862921353677,-0.99003,1.05614,-0.304366
1533862921374594,-0.987254,1.06422,-0.296307
1533862921390548,-0.983397,1.07145,-0.287211
1533862921413487,-0.978884,1.07655,-0.277424
1533862921435429,-0.976495,1.08098,-0.2695
1533862921450406,-0.973642,1.08378,-0.261988
1533862921480308,-0.972169,1.08688,-0.258109
1533862921496274,-0.969115,1.0887,-0.25362
1533862921510227,-0.967728,1.0902,-0.250453
1533862921533166,-0.966993,1.09099,-0.248326
1533862921556139,-0.965301,1.09073,-0.245889
1533862921570067,-0.965018,1.09009,-0.247088
1533862921594004,-0.964552,1.08947,-0.249929
1533862921615945,-0.969793,1.08933,-0.258108
1533862921629923,-0.97894,1.08845,-0.267997
1533862921653875,-0.989801,1.0873,-0.278989
1533862921683771,-0.998432,1.08619,-0.288683
1533862921689938,-1.00751,1.08514,-0.298995
1533862921713683,-1.01855,1.08431,-0.312143
1533862921735625,-1.03276,1.08307,-0.331076
1533862921757567,-1.04675,1.08091,-0.350766
1533862921773523,-1.06143,1.07845,-0.370943
1533862921795464,-1.0765,1.07569,-0.390733
1533862921816409,-1.09106,1.07165,-0.410455
1533862921833371,-1.10695,1.06669,-0.431288
1533862921855305,-1.12468,1.06107,-0.454412
1533862921877246,-1.14488,1.05355,-0.480236
1533862921893203,-1.17159,1.04193,-0.514961
1533862921916142,-1.19832,1.02679,-0.548284
1533862921937091,-1.22115,1.00995,-0.577586
1533862921953044,-1.24324,0.992304,-0.606836
1533862921975982,-1.26362,0.973792,-0.63507
1533862921996949,-1.28448,0.953296,-0.663737
1533862922013887,-1.3085,0.929339,-0.694152
1533862922035830,-1.33355,0.900661,-0.724339
1533862922056767,-1.35637,0.868501,-0.749004
1533862922073721,-1.37679,0.835067,-0.772372
1533862922095662,-1.39593,0.79942,-0.796452
1533862922116612,-1.41524,0.759328,-0.820593
1533862922133561,-1.43445,0.713916,-0.843225
1533862922161490,-1.45102,0.670052,-0.861915
1533862922177474,-1.46241,0.62886,-0.878604
1533862922193401,-1.47137,0.588067,-0.894712
1533862922216339,-1.48292,0.545891,-0.911241
1533862922237511,-1.49854,0.501309,-0.928446
1533862922252245,-1.51195,0.456493,-0.941449
1533862922276206,-1.517,0.417682,-0.948439
1533862922297126,-1.51381,0.385407,-0.952096
1533862922313081,-1.50905,0.363357,-0.95541
1533862922336020,-1.50953,0.346649,-0.959595
1533862922357962,-1.52017,0.329172,-0.965741
1533862922372921,-1.5339,0.312728,-0.971534
1533862922395859,-1.53851,0.299692,-0.974717
1533862922424988,-1.53264,0.287832,-0.976935
1533862922432762,-1.52579,0.27984,-0.978372
1533862922455763,-1.52512,0.274815,-0.978213
1533862922478690,-1.52764,0.270556,-0.977236
1533862922492652,-1.52819,0.268541,-0.976902
1533862922515608,-1.52941,0.273299,-0.976996
1533862922538529,-1.53075,0.281663,-0.975751
1533862922552492,-1.53043,0.29167,-0.974205
1533862922575431,-1.52842,0.305325,-0.970944
1533862922598369,-1.5254,0.322086,-0.966087
1533862922619515,-1.52275,0.342312,-0.96086
1533862922636268,-1.51962,0.366341,-0.955241
1533862922658210,-1.51652,0.394043,-0.948475
1533862922679154,-1.51283,0.424596,-0.940011
1533862922703090,-1.50909,0.457522,-0.930936
1533862922718067,-1.50381,0.49316,-0.920651
1533862922738993,-1.4968,0.53032,-0.909126
1533862922755948,-1.48787,0.568721,-0.896389
1533862922777890,-1.47709,0.607808,-0.882777
1533862922799831,-1.46495,0.646973,-0.868357
1533862922815803,-1.45168,0.685503,-0.853025
1533862922838728,-1.43733,0.72359,-0.837533
1533862922859674,-1.42243,0.760007,-0.821785
1533862922875628,-1.40746,0.79473,-0.806321
1533862922898567,-1.39157,0.82811,-0.789792
1533862922919514,-1.37422,0.858776,-0.77094
1533862922935514,-1.35733,0.885314,-0.7516
1533862922958454,-1.34275,0.908713,-0.734131
1533862922980393,-1.32606,0.931456,-0.713926
1533862922995357,-1.30877,0.954594,-0.695332
1533862923026302,-1.30077,0.975914,-0.684669
1533862923039237,-1.29066,0.989926,-0.668716
1533862923056227,-1.2764,1.00716,-0.649689
1533862923078132,-1.25311,1.01314,-0.622671
1533862923099077,-1.25393,1.0253,-0.61934
1533862923116041,-1.24207,1.03325,-0.602688
1533862923138003,-1.23724,1.03912,-0.593731
1533862923158917,-1.23023,1.04385,-0.582922
1533862923174875,-1.22445,1.04719,-0.57438
1533862923198813,-1.22106,1.04865,-0.568932
1533862923219757,-1.22127,1.04776,-0.569811
1533862923235714,-1.22099,1.04681,-0.57074
1533862923258652,-1.22026,1.04603,-0.570141
1533862923280591,-1.22087,1.04484,-0.57026
1533862923295552,-1.22112,1.04344,-0.570433
1533862923318495,-1.22057,1.04232,-0.570008
1533862923340435,-1.22054,1.04137,-0.569893
1533862923355391,-1.22053,1.04133,-0.569009
1533862923378329,-1.22124,1.04124,-0.568959
1533862923401269,-1.22176,1.04114,-0.569566
1533862923416240,-1.22211,1.04073,-0.569977
1533862923438170,-1.22318,1.04011,-0.571116
1533862923461267,-1.22528,1.03924,-0.57258
1533862923475229,-1.22741,1.03817,-0.574577
1533862923498174,-1.2301,1.03674,-0.577197
1533862923521138,-1.23198,1.03533,-0.578859
1533862923536064,-1.23357,1.03382,-0.580168
1533862923558018,-1.23553,1.03186,-0.581748
1533862923580943,-1.2367,1.03008,-0.582487
1533862923594907,-1.23708,1.02889,-0.582471
1533862923617844,-1.23823,1.02782,-0.582621
1533862923640784,-1.23923,1.02676,-0.583156
1533862923654750,-1.23878,1.02559,-0.583343
1533862923678683,-1.23845,1.02518,-0.583927
