timestamp,x,y,z,w
1533862913146501,-0.461975,0.123657,-0.434998,0.762939
1533862913176434,-0.462463,0.124207,-0.434814,0.762634
1533862913191400,-0.462891,0.124695,-0.434631,0.76239
1533862913206355,-0.463196,0.124939,-0.434631,0.762146
1533862913231253,-0.463257,0.125366,-0.434753,0.762024
1533862913251200,-0.463257,0.12561,-0.434814,0.761963
1533862913266159,-0.463501,0.125854,-0.434875,0.761719
1533862913329001,-0.463562,0.125854,-0.434875,0.761719
1533862913329993,-0.463257,0.125793,-0.434753,0.761963
1533862913337973,-0.462952,0.125549,-0.434692,0.762207
1533862913349013,-0.462646,0.125793,-0.43457,0.762451
1533862913374869,-0.462769,0.126099,-0.434387,0.76239
1533862913395813,-0.463196,0.126404,-0.434326,0.762146
1533862913417766,-0.463379,0.126953,-0.434143,0.762024
1533862913456744,-0.463135,0.127197,-0.433899,0.762268
1533862913470613,-0.462891,0.127014,-0.433899,0.762451
1533862913471611,-0.462708,0.126831,-0.433777,0.762695
1533862913491586,-0.462708,0.126831,-0.433777,0.762634
1533862913513499,-0.462708,0.12677,-0.433777,0.762634
1533862913531450,-0.463074,0.127075,-0.433777,0.762451
1533862913551401,-0.462952,0.127258,-0.433777,0.762451
1533862913569349,-0.46283,0.127136,-0.433777,0.762573
1533862913591295,-0.46283,0.127136,-0.433777,0.762573
1533862913611240,-0.463074,0.127441,-0.433655,0.76239
1533862913636218,-0.463074,0.127441,-0.433655,0.76239
1533862913651165,-0.463074,0.127258,-0.433716,0.76239
1533862913671116,-0.462891,0.127014,-0.433777,0.762512
1533862913689064,-0.462769,0.126953,-0.433838,0.762573
1533862913712003,-0.462891,0.127258,-0.433777,0.762451
1533862913730952,-0.462952,0.127258,-0.433777,0.762451
1533862913748904,-0.46283,0.127136,-0.43396,0.762451
1533862913771842,-0.462585,0.126953,-0.434082,0.762573
1533862913790803,-0.462341,0.127014,-0.434143,0.762634
1533862913808774,-0.462158,0.127075,-0.434204,0.762756
1533862913831682,-0.46167,0.12677,-0.434387,0.763
1533862913858614,-0.460938,0.12616,-0.434631,0.763367
1533862913869590,-0.459839,0.125305,-0.434753,0.764099
1533862913891535,-0.458435,0.124207,-0.434814,0.765076
1533862913914462,-0.45697,0.122742,-0.435059,0.766052
1533862913929441,-0.455627,0.121399,-0.435425,0.766846
1533862913951363,-0.455872,0.120789,-0.43512,0.767029
1533862913972309,-0.457642,0.121826,-0.434326,0.766174
1533862913989268,-0.459778,0.123474,-0.433472,0.765137
1533862914017245,-0.460938,0.124512,-0.433044,0.764526
1533862914032205,-0.461243,0.125122,-0.432983,0.764282
1533862914049158,-0.461365,0.125549,-0.433167,0.764038
1533862914071101,-0.46167,0.125916,-0.433228,0.763733
1533862914093054,-0.462158,0.126221,-0.43335,0.763306
1533862914108999,-0.462646,0.126526,-0.433472,0.762939
1533862914131939,-0.462646,0.126526,-0.433472,0.762878
1533862914152885,-0.462708,0.126526,-0.433472,0.762878
1533862914173829,-0.462708,0.126526,-0.433472,0.762878
1533862914191777,-0.462708,0.126526,-0.433472,0.762878
1533862914212722,-0.462524,0.126465,-0.43335,0.763062
1533862914233665,-0.462524,0.126465,-0.43335,0.763062
1533862914251618,-0.462585,0.126465,-0.43335,0.763062
1533862914274557,-0.462524,0.126465,-0.43335,0.763062
1533862914293508,-0.462646,0.126282,-0.432983,0.763184
1533862914311474,-0.463013,0.125977,-0.4328,0.763184
1533862914334410,-0.463196,0.125916,-0.432617,0.763184
1533862914353349,-0.463196,0.126099,-0.432434,0.763245
1533862914371298,-0.463806,0.126221,-0.432312,0.762939
1533862914394236,-0.464661,0.125977,-0.432129,0.762512
1533862914414185,-0.465149,0.125732,-0.432007,0.76239
1533862914437157,-0.465393,0.125671,-0.432007,0.762207
