timestamp,x,y,z,w
70578723397,-0.0238037,-0.13739,-0.25177,0.957642
70578746596,-0.0237427,-0.137451,-0.25177,0.957642
70578767903,-0.0235596,-0.137695,-0.252014,0.957581
70578784103,-0.0234985,-0.137939,-0.252014,0.95752
70578813458,-0.0236816,-0.138184,-0.251831,0.95752
70578829137,-0.0238037,-0.138123,-0.251526,0.957642
70578874814,-0.0235596,-0.137878,-0.251343,0.957703
70578876840,-0.0233154,-0.137634,-0.251343,0.957764
70578896492,-0.0232544,-0.137634,-0.251343,0.957764
70578904391,-0.0231934,-0.137756,-0.251404,0.957703
70578928106,-0.0233765,-0.138062,-0.251526,0.957642
70578947838,-0.0233765,-0.138062,-0.251526,0.957642
70578964466,-0.0233154,-0.138123,-0.251709,0.957581
70579000264,-0.0233154,-0.138123,-0.251709,0.957581
70579010425,-0.0236816,-0.138245,-0.251526,0.957642
70579024417,-0.0238647,-0.138306,-0.251404,0.957642
70579045382,-0.0237427,-0.138062,-0.251221,0.957703
70579068847,-0.0232544,-0.138,-0.251099,0.957764
70579100457,-0.0232544,-0.137939,-0.250854,0.957825
70579105253,-0.0234985,-0.137817,-0.250732,0.957886
70579128384,-0.0234985,-0.137817,-0.250732,0.957886
70579144042,-0.0230103,-0.137695,-0.250854,0.957886
70579166682,-0.0228882,-0.137878,-0.250977,0.957825
70579188359,-0.0232544,-0.138062,-0.251038,0.957764
70579204138,-0.0233765,-0.138245,-0.251099,0.957703
70579233473,-0.0228271,-0.138184,-0.251526,0.957642
70579248466,-0.0227051,-0.138306,-0.252014,0.95752
70579264189,-0.0227661,-0.138428,-0.25238,0.957397
70579285263,-0.0230103,-0.139099,-0.252747,0.957214
70579307735,-0.0228271,-0.139648,-0.252869,0.957092
70579324217,-0.0231934,-0.139893,-0.252686,0.957092
70579345291,-0.0235596,-0.140442,-0.252625,0.957031
70579367736,-0.0239258,-0.140991,-0.252625,0.956909
70579384229,-0.0241089,-0.140991,-0.252441,0.95697
70579405228,-0.0239258,-0.141174,-0.252625,0.956909
70579427788,-0.0234985,-0.141479,-0.253052,0.956726
70579444203,-0.0236816,-0.141785,-0.253357,0.956604
70579465241,-0.0241089,-0.142151,-0.253784,0.956421
70579487725,-0.024353,-0.142517,-0.254211,0.956238
70579504176,-0.0245361,-0.142639,-0.254578,0.956116
70579525281,-0.0245972,-0.143311,-0.255188,0.955872
70579547779,-0.0246582,-0.14386,-0.255493,0.955688
70579564181,-0.0244751,-0.144653,-0.256042,0.955444
70579585319,-0.0245361,-0.145264,-0.256348,0.955261
70579607818,-0.0245972,-0.145874,-0.256714,0.955078
70579624219,-0.0245361,-0.146484,-0.257263,0.954834
70579647198,-0.024353,-0.146484,-0.257751,0.954712
70579667788,-0.024353,-0.147095,-0.25824,0.954468
70579684209,-0.0245361,-0.147949,-0.258728,0.954224
70579706668,-0.0249023,-0.148865,-0.258911,0.954041
70579727781,-0.0250854,-0.149536,-0.259033,0.953857
70579744229,-0.0252075,-0.150208,-0.259399,0.953674
70579767432,-0.0247803,-0.150818,-0.26001,0.95343
70579787718,-0.0246582,-0.151306,-0.260681,0.953186
70579804169,-0.0246582,-0.151794,-0.261475,0.952881
70579826729,-0.0244751,-0.152344,-0.262207,0.952576
70579847803,-0.0244141,-0.153076,-0.263184,0.952209
70579864264,-0.0245972,-0.154114,-0.26416,0.951721
70579886680,-0.0247803,-0.154907,-0.264954,0.951416
70579907772,-0.0247192,-0.155762,-0.265747,0.95105
70579924150,-0.0247192,-0.156799,-0.266418,0.950684
70579946745,-0.0251465,-0.158081,-0.26709,0.950256
70579967764,-0.0258179,-0.159302,-0.2677,0.94989
