-0.762,-0.093,0.13,0.628,0.324,0.069,-0.926,-0.312,-0.25,0.125,-2,-4,-1,0,-1,-1,0,-2
-0.762,-0.094,0.13,0.628,0.323,0.069,-0.93,-0.562,0.5,-0.062,0,1,1,1,-6,-2,1,0
-0.762,-0.094,0.13,0.628,0.325,0.06,-0.917,-0.438,1.125,-0.625,0,-1,-1,-2,-2,-1,0,-1
-0.762,-0.094,0.13,0.628,0.33,0.067,-0.929,-0.25,2,-0.125,-2,0,-1,-2,3,2,-1,-1
-0.762,-0.094,0.131,0.628,0.339,0.063,-0.926,-1,0.312,-0.438,-1,-1,0,-2,6,-1,0,-1
-0.761,-0.094,0.131,0.628,0.33,0.063,-0.924,-1.062,0.188,0.5,-5,-3,-3,-2,-5,-1,-1,1
-0.761,-0.094,0.131,0.628,0.331,0.074,-0.917,-1,-0.438,0.375,0,1,-1,-3,-9,-1,0,2
-0.761,-0.094,0.131,0.628,0.321,0.07,-0.924,-0.375,0,0.125,-3,-1,-2,-1,1,-1,-4,-6
-0.761,-0.094,0.13,0.628,0.335,0.065,-0.932,0.312,0.125,0.625,-5,-1,-2,-1,-2,0,0,-1
-0.761,-0.094,0.13,0.628,0.34,0.06,-0.927,-0.188,-1.438,1.125,5,4,3,1,2,1,-2,-6
-0.761,-0.094,0.13,0.629,0.324,0.06,-0.929,-0.25,-2.75,1.5,-4,-2,-1,-3,-10,-3,-2,0
-0.761,-0.094,0.129,0.629,0.323,0.07,-0.927,-0.5,-2.75,1.5,-3,-1,-2,1,8,2,-2,-1
-0.761,-0.094,0.129,0.629,0.317,0.062,-0.931,-0.938,-1.875,1.062,0,-2,-2,-1,-3,-4,-2,-3
-0.761,-0.093,0.129,0.629,0.325,0.056,-0.927,-2.062,-0.5,0.875,-2,-3,-3,0,-3,-1,-1,0
-0.761,-0.093,0.129,0.629,0.331,0.064,-0.924,-2.312,0,0.562,1,-1,-1,-1,-1,-1,-1,-1
-0.76,-0.093,0.129,0.629,0.324,0.074,-0.927,-1.438,-0.25,0.312,1,-1,-2,-3,-3,-1,0,-2
-0.76,-0.093,0.129,0.63,0.321,0.064,-0.92,-0.75,-0.562,-0.125,5,1,0,0,1,4,2,2
-0.76,-0.093,0.129,0.63,0.32,0.062,-0.925,-0.75,0.562,-0.062,-1,1,2,1,-1,0,0,-1
-0.76,-0.093,0.129,0.63,0.331,0.066,-0.922,-1,1.188,-0.25,-2,-1,-1,-1,-3,-1,-1,1
-0.76,-0.094,0.13,0.63,0.331,0.066,-0.927,-0.875,0.812,-0.25,4,1,-1,0,2,1,2,4
-0.76,-0.094,0.13,0.63,0.329,0.072,-0.917,-0.5,-0.25,0.312,-1,-2,-1,-1,-3,-2,1,3
-0.76,-0.094,0.129,0.63,0.328,0.071,-0.924,0.125,-0.5,0.688,0,1,2,-1,-4,-1,-3,-3
-0.76,-0.094,0.129,0.63,0.326,0.066,-0.926,0.312,-0.688,0.438,-1,0,-1,-1,-3,0,-3,-2
-0.76,-0.094,0.129,0.63,0.325,0.067,-0.938,0,0.625,0.188,1,1,2,0,-7,-2,0,0
-0.76,-0.094,0.129,0.63,0.326,0.067,-0.924,0,0.5,-0.25,0,0,0,1,-4,0,1,1
-0.76,-0.094,0.129,0.63,0.33,0.065,-0.922,0.812,0.125,0.438,-4,-2,-2,-2,-2,1,-3,-4
-0.76,-0.094,0.129,0.63,0.335,0.07,-0.916,1.5,-0.25,0.688,3,0,-2,-1,1,-1,0,1
-0.76,-0.094,0.129,0.63,0.335,0.068,-0.922,2.375,-0.875,0.812,-3,-3,-2,0,8,0,-2,0
-0.76,-0.094,0.128,0.63,0.338,0.06,-0.93,2.375,-1.75,1.188,1,3,2,3,9,2,2,2
-0.76,-0.094,0.127,0.63,0.326,0.056,-0.936,1.75,-2.938,1.062,-3,-3,-2,-2,-4,-3,-3,-3
-0.76,-0.094,0.127,0.63,0.316,0.051,-0.936,0.375,-1.812,0.875,-1,0,0,0,-4,0,1,0
-0.76,-0.094,0.127,0.63,0.322,0.053,-0.938,-0.625,-0.562,0.5,-2,-3,-1,-3,-2,-3,-2,-3
-0.76,-0.094,0.127,0.63,0.322,0.052,-0.933,-1.25,-0.125,-0.062,0,-1,-2,-1,0,-2,1,0
-0.76,-0.094,0.127,0.631,0.325,0.054,-0.93,-1.812,1.688,0.438,3,0,-1,-1,-2,-2,0,0
-0.76,-0.095,0.127,0.631,0.329,0.057,-0.932,-2.5,1.562,0.375,3,0,1,1,-2,-2,0,0
-0.76,-0.095,0.127,0.631,0.321,0.049,-0.935,-2.938,1.688,-0.25,-5,-5,-3,-1,4,1,1,-1
-0.76,-0.095,0.128,0.631,0.329,0.051,-0.945,-4.188,3.812,-0.375,0,2,-1,-2,-5,-1,-1,0
-0.76,-0.095,0.129,0.63,0.32,0.053,-0.927,-5.625,6.188,-2.312,3,-1,0,-3,-5,-1,-1,1
-0.76,-0.096,0.131,0.63,0.314,0.064,-0.92,-5.375,9.75,-4.562,2,0,0,-2,-5,-2,0,4
-0.76,-0.096,0.133,0.629,0.326,0.062,-0.923,-5.625,11.312,-5.188,0,1,-2,-2,-4,-3,-2,0
