1532222813866,-9,15,25,-1,1,1,1,-1
1532222813871,3,-3,-18,-2,-2,-2,-2,-1
1532222813876,2,21,16,-5,1,-1,1,1
1532222813881,-2,-4,-9,4,1,-2,-1,-2
1532222813886,-1,-44,-16,-1,-2,-1,-2,-6
1532222813891,-15,24,-1,-1,1,1,2,-5
1532222813896,6,12,-4,-6,-3,-1,-2,-1
1532222813901,6,11,10,-1,-3,-1,-1,4
1532222813906,8,6,36,4,2,3,0,6
1532222813911,-2,-17,-29,-1,-3,-2,-2,0
1532222813916,-8,-22,-34,-6,-3,-1,0,-5
1532222813921,-2,8,3,-4,0,-1,0,-2
1532222813926,0,18,5,0,-2,-2,1,-2
1532222813931,3,-29,6,-2,-2,-1,-2,-2
1532222813936,-2,-5,-2,2,0,1,0,1
1532222813941,0,-4,-22,-4,-1,0,0,2
1532222813946,4,17,0,-2,-2,-1,0,1
1532222813951,0,-11,28,4,0,0,-2,-1
1532222813956,-3,3,-9,1,-1,-1,-2,-2
1532222813961,0,-5,9,3,3,1,3,1
1532222813966,-1,-17,-46,-6,0,1,3,2
1532222813971,0,34,16,-3,-2,-2,-3,-5
1532222813976,1,-5,12,2,1,-1,0,-1
1532222813981,-15,-47,-38,-3,-3,1,0,-5
1532222813986,6,32,47,1,2,-1,-2,-1
1532222813991,-2,12,17,4,-1,-1,0,-3
1532222813996,8,-34,-16,3,-1,-1,-2,5
1532222814001,-10,-9,-14,-4,1,0,0,-1
1532222814006,3,32,-9,-3,-1,-3,-2,-2
1532222814011,-2,11,4,-3,-1,0,-1,-1
1532222814016,2,0,32,3,2,0,2,-1
1532222814021,5,11,-23,-5,-2,-3,-6,-1
1532222814026,-8,-6,-3,1,1,0,2,0
1532222814031,5,34,6,-2,0,0,1,2
1532222814036,-7,-41,0,2,-1,-1,-3,-3
1532222814041,-1,20,8,-5,-3,-3,-1,-4
1532222814046,6,37,30,15,3,2,1,-1
1532222814051,-12,-111,-50,-7,-2,-1,-2,-3
1532222814056,1,62,8,-3,-1,-2,2,-1
