timestamp,x,y,z
1533863710381920,0.205078,-0.817383,0.585449
1533863710404856,0.193848,-0.81543,0.583984
1533863710421812,0.20166,-0.817871,0.580566
1533863710444785,0.208496,-0.820313,0.592773
1533863710464739,0.209473,-0.814453,0.593262
1533863710479656,0.199707,-0.827637,0.585449
1533863710503611,0.207031,-0.815918,0.585449
1533863710524560,0.196289,-0.812012,0.584961
1533863710580389,0.196777,-0.80957,0.581543
1533863710580389,0.20752,-0.814941,0.579102
1533863710589363,0.208008,-0.813477,0.57959
1533863710603326,0.20459,-0.814941,0.577148
1533863710623272,0.205566,-0.806152,0.580078
1533863710662168,0.205078,-0.814453,0.581543
1533863710707048,0.205078,-0.819336,0.580078
1533863710708046,0.205078,-0.827637,0.583984
1533863710709042,0.20752,-0.819336,0.584473
1533863710728198,0.20166,-0.814453,0.581543
1533863710743949,0.205078,-0.813477,0.583984
1533863710764893,0.202637,-0.819824,0.584961
1533863710786835,0.203125,-0.819336,0.57666
1533863710803789,0.201172,-0.811523,0.587891
1533863710827725,0.207031,-0.810059,0.581543
1533863710846688,0.20459,-0.813965,0.581543
1533863710864627,0.20166,-0.8125,0.582031
1533863710884601,0.206543,-0.821777,0.589844
1533863710914494,0.20166,-0.809082,0.584473
1533863710924468,0.203125,-0.807129,0.580566
1533863710944414,0.202637,-0.803711,0.58252
1533863710967360,0.20459,-0.817383,0.583984
1533863710985304,0.206543,-0.813965,0.584473
1533863711008244,0.208984,-0.816406,0.592285
1533863711027260,0.206543,-0.807617,0.592773
1533863711045144,0.204102,-0.803711,0.590332
1533863711064094,0.200684,-0.805664,0.591797
1533863711087032,0.205566,-0.811523,0.590332
1533863711104991,0.202637,-0.810059,0.583984
1533863711124930,0.208008,-0.800781,0.586914
1533863711146871,0.210449,-0.806152,0.583008
1533863711164824,0.211426,-0.81543,0.583984
1533863711184770,0.20459,-0.816406,0.58252
1533863711209704,0.189941,-0.814941,0.57373
1533863711224667,0.192871,-0.81543,0.587891
1533863711244610,0.205078,-0.811035,0.594727
1533863711267552,0.210449,-0.804688,0.591797
1533863711285508,0.207031,-0.805664,0.601074
1533863711304454,0.204102,-0.805176,0.59375
1533863711327392,0.206055,-0.802734,0.594238
1533863711345344,0.217285,-0.807617,0.603027
1533863711366285,0.208984,-0.80957,0.598145
1533863711387324,0.201172,-0.819336,0.59375
1533863711405272,0.19873,-0.821289,0.59082
1533863711426217,0.196289,-0.810059,0.580078
1533863711454153,0.190918,-0.808594,0.575684
1533863711465113,0.199219,-0.810059,0.568359
1533863711486057,0.209961,-0.817383,0.575195
1533863711507000,0.207031,-0.804688,0.586914
1533863711524953,0.200195,-0.812988,0.578125
1533863711547893,0.197266,-0.816895,0.585938
1533863711567056,0.203613,-0.819824,0.581543
1533863711584803,0.200195,-0.824707,0.581055
1533863711605736,0.198242,-0.8125,0.584961
1533863711626887,0.199707,-0.824219,0.588379
1533863711644632,0.200684,-0.824707,0.587402
1533863711665576,0.195313,-0.818359,0.583984
1533863711689512,0.192383,-0.814453,0.583984
1533863711703475,0.198242,-0.819336,0.574707
1533863711726417,0.19873,-0.823242,0.581543
1533863711749353,0.196289,-0.819336,0.584473
1533863711763315,0.196777,-0.80957,0.586426
1533863711786257,0.199219,-0.813965,0.587891
1533863711809192,0.198242,-0.814453,0.585449
1533863711830152,0.198242,-0.818848,0.583496
1533863711847091,0.197754,-0.813965,0.591309
1533863711869032,0.199707,-0.811523,0.584961
1533863711889979,0.195801,-0.81543,0.582031
1533863711906932,0.196777,-0.8125,0.581543
1533863711928882,0.195313,-0.81543,0.578613
1533863711950814,0.20166,-0.824219,0.59082
1533863711974750,0.202148,-0.812988,0.585449
1533863711988714,0.192383,-0.815918,0.588379
1533863712010857,0.193848,-0.821777,0.579102
1533863712026621,0.200684,-0.814941,0.582031
1533863712049549,0.201172,-0.819336,0.589844
1533863712070499,0.196777,-0.813965,0.583984
1533863712086461,0.196289,-0.822754,0.58252
1533863712109390,0.19873,-0.80957,0.583008
1533863712130334,0.194336,-0.812988,0.586914
1533863712146318,0.191895,-0.81543,0.588867
1533863712169252,0.202148,-0.817871,0.582031
1533863712198217,0.199707,-0.809082,0.58252
1533863712207132,0.193848,-0.809082,0.580078
1533863712229070,0.200684,-0.8125,0.583008
1533863712250013,0.205566,-0.828125,0.59082
1533863712266989,0.204102,-0.816895,0.587402
1533863712288909,0.196289,-0.80957,0.591309
1533863712311848,0.205078,-0.812988,0.585938
1533863712327805,0.201172,-0.815918,0.583496
1533863712348749,0.19873,-0.817383,0.588867
1533863712371697,0.202637,-0.814941,0.585449
1533863712386648,0.19873,-0.81543,0.584961
1533863712409588,0.205566,-0.806641,0.57959
1533863712431529,0.200195,-0.816406,0.584473
1533863712446497,0.20459,-0.817383,0.587891
1533863712469426,0.193848,-0.810547,0.586426
1533863712491371,0.206055,-0.823242,0.589844
1533863712506330,0.205566,-0.814453,0.585449
1533863712529266,0.196777,-0.813965,0.584473
1533863712552206,0.202148,-0.811523,0.580078
1533863712566168,0.200195,-0.815918,0.580566
1533863712589106,0.200195,-0.810059,0.583496
1533863712612045,0.200684,-0.810547,0.584961
1533863712626008,0.198242,-0.817383,0.588867
1533863712655927,0.203125,-0.8125,0.582031
1533863712671893,0.203613,-0.812012,0.592285
1533863712685849,0.194824,-0.811035,0.589355
1533863712709784,0.192871,-0.807129,0.59082
1533863712731724,0.202148,-0.819824,0.578613
1533863712752672,0.203613,-0.81543,0.589355
1533863712769623,0.206543,-0.813965,0.585938
1533863712805531,0.197754,-0.811035,0.588867
1533863712812509,0.191406,-0.806641,0.588867
1533863712829464,0.202637,-0.809082,0.592285
1533863712851432,0.200195,-0.81543,0.582031
1533863712872350,0.199219,-0.816895,0.583008
1533863712889305,0.199707,-0.808594,0.585938
1533863712911245,0.19873,-0.812988,0.586914
1533863712933187,0.200684,-0.818359,0.589355
1533863712949143,0.198242,-0.820801,0.586914
1533863712972083,0.195313,-0.807129,0.592285
1533863712994025,0.19873,-0.8125,0.587891
1533863713014967,0.196777,-0.8125,0.581543
1533863713031933,0.197266,-0.81543,0.582031
1533863713052869,0.19873,-0.808594,0.57959
1533863713068833,0.195313,-0.816895,0.588867
1533863713091762,0.201172,-0.820801,0.586914
1533863713112706,0.198242,-0.811523,0.593262
1533863713128663,0.191895,-0.811523,0.590332
1533863713151602,0.201172,-0.821289,0.59082
1533863713172553,0.196289,-0.812988,0.583008
1533863713196488,0.191895,-0.81543,0.589355
1533863713219426,0.193359,-0.811035,0.581543
1533863713234381,0.201172,-0.813477,0.58252
1533863713249341,0.198242,-0.813477,0.57959
1533863713271285,0.199219,-0.822754,0.584961
1533863713300208,0.196777,-0.810547,0.583984
1533863713308187,0.199219,-0.818848,0.586426
1533863713332119,0.20166,-0.814453,0.585938
1533863713354075,0.195313,-0.813965,0.586426
1533863713369020,0.192383,-0.814453,0.589355
1533863713391961,0.20166,-0.8125,0.588379
1533863713413902,0.203125,-0.81543,0.585938
1533863713428860,0.193359,-0.813965,0.586426
1533863713451800,0.196289,-0.813965,0.591797
1533863713473743,0.196777,-0.815918,0.588379
1533863713488701,0.199219,-0.810059,0.584473
1533863713511640,0.198242,-0.812988,0.585449
1533863713534578,0.197754,-0.81543,0.584961
1533863713548541,0.197754,-0.810547,0.584473
1533863713571479,0.197266,-0.809082,0.58252
1533863713594418,0.197754,-0.814453,0.584473
1533863713608397,0.201172,-0.808594,0.586914
1533863713631319,0.200684,-0.812012,0.59375
1533863713654258,0.196289,-0.813965,0.586426
1533863713668224,0.198242,-0.816895,0.584473
1533863713692156,0.199707,-0.812012,0.583008
1533863713714098,0.197754,-0.810059,0.577637
1533863713735041,0.19873,-0.810547,0.580078
1533863713751997,0.202148,-0.816406,0.583496
1533863713774943,0.195313,-0.814453,0.585449
1533863713794884,0.195313,-0.811523,0.586914
1533863713811836,0.195801,-0.805664,0.588867
1533863713833781,0.204102,-0.812988,0.586426
1533863713862699,0.197754,-0.81543,0.585449
1533863713871676,0.195313,-0.813477,0.588867
1533863713901596,0.197754,-0.811523,0.590332
1533863713915562,0.195801,-0.80957,0.588379
1533863713931515,0.206543,-0.81543,0.580566
1533863713954455,0.199707,-0.812988,0.578613
1533863713975402,0.197266,-0.812012,0.577148
1533863713991392,0.199219,-0.815918,0.587402
1533863714014295,0.205078,-0.814941,0.591797
1533863714035243,0.193359,-0.818359,0.589844
1533863714052195,0.197754,-0.813477,0.583496
1533863714074134,0.194336,-0.816406,0.581543
1533863714095082,0.191895,-0.816406,0.57959
1533863714112033,0.189941,-0.816895,0.578125
1533863714133978,0.204102,-0.818359,0.593262
1533863714154922,0.195801,-0.809082,0.586426
1533863714171873,0.216797,-0.808594,0.57959
1533863714201793,0.19043,-0.80957,0.583984
1533863714216770,0.178711,-0.816895,0.582031
1533863714231713,0.191406,-0.818848,0.589844
1533863714254662,0.186523,-0.813965,0.583984
1533863714276604,0.190918,-0.818359,0.579102
1533863714291554,0.200195,-0.820313,0.587891
1533863714314492,0.193359,-0.82373,0.583008
1533863714336447,0.197754,-0.819824,0.587891
1533863714351393,0.193848,-0.814941,0.583984
1533863714374338,0.185059,-0.835449,0.574707
1533863714396310,0.193359,-0.819824,0.588379
1533863714411234,0.215332,-0.805664,0.57959
1533863714434184,0.223633,-0.80127,0.578125
1533863714457130,0.181152,-0.805176,0.582031
1533863714478054,0.183594,-0.822754,0.578125
1533863714494015,0.172852,-0.838867,0.57373
1533863714516950,0.171875,-0.830078,0.575684
1533863714530913,0.187988,-0.816406,0.584961
1533863714553852,0.186523,-0.82666,0.577637
1533863714576790,0.194824,-0.823242,0.583008
1533863714597734,0.208984,-0.82373,0.578613
1533863714613698,0.19873,-0.817871,0.577637
1533863714636631,0.180664,-0.818359,0.573242
1533863714651596,0.182129,-0.825195,0.574219
1533863714674529,0.202148,-0.821777,0.578613
1533863714696486,0.20459,-0.81543,0.586914
1533863714717414,0.185059,-0.816406,0.585449
1533863714734369,0.179688,-0.820313,0.57666
1533863714757307,0.1875,-0.827148,0.579102
1533863714785233,0.199707,-0.832031,0.579102
1533863714794209,0.191406,-0.823242,0.577148
1533863714817148,0.188965,-0.820801,0.580078
1533863714838095,0.190918,-0.818848,0.575684
1533863714854054,0.193848,-0.824707,0.584473
1533863714876987,0.197266,-0.820801,0.58252
1533863714897933,0.188477,-0.814941,0.572266
1533863714913888,0.193848,-0.819824,0.577148
1533863714936828,0.195801,-0.82373,0.576172
1533863714957771,0.19043,-0.818359,0.574219
1533863714974725,0.186035,-0.820313,0.58252
1533863714996668,0.191895,-0.820801,0.58252
1533863715017612,0.196289,-0.818359,0.586914
1533863715034568,0.188965,-0.814941,0.584961
1533863715056508,0.194336,-0.81543,0.585938
1533863715077490,0.197266,-0.814941,0.584961
1533863715093409,0.205078,-0.812012,0.587891
1533863715116414,0.195801,-0.807617,0.594727
1533863715139330,0.186035,-0.812012,0.583496
1533863715154245,0.191895,-0.816895,0.58252
1533863715177185,0.193359,-0.806152,0.583984
1533863715199126,0.192871,-0.817383,0.591797
1533863715214104,0.211914,-0.803711,0.602051
1533863715237025,0.210449,-0.783203,0.597656
1533863715258977,0.189941,-0.807617,0.595703
1533863715273926,0.198242,-0.822754,0.595215
1533863715296866,0.194336,-0.819824,0.604492
1533863715318806,0.193359,-0.795898,0.590332
1533863715341758,0.193359,-0.80127,0.59082
1533863715356704,0.193848,-0.818359,0.589355
1533863715379642,0.194336,-0.819336,0.594238
1533863715393606,0.20166,-0.80957,0.585938
1533863715416558,0.199707,-0.807129,0.589844
1533863715439482,0.197266,-0.820801,0.590332
1533863715453445,0.194336,-0.816895,0.592285
1533863715476611,0.194336,-0.821289,0.581543
1533863715499327,0.194336,-0.810547,0.579102
1533863715513286,0.195801,-0.802734,0.57959
1533863715544203,0.193359,-0.812012,0.579102
1533863715559163,0.198242,-0.813477,0.580078
1533863715580108,0.188477,-0.79541,0.586426
1533863715597070,0.188965,-0.799316,0.583496
1533863715619002,0.190918,-0.822266,0.598633
1533863715640952,0.206055,-0.819336,0.599121
1533863715657900,0.193848,-0.80957,0.591309
1533863715678846,0.181152,-0.800781,0.588379
1533863715700852,0.188477,-0.80957,0.584473
1533863715724735,0.189941,-0.817871,0.578613
1533863715739681,0.199219,-0.830078,0.58252
1533863715760656,0.196289,-0.812988,0.57666
1533863715776582,0.19043,-0.80957,0.578125
1533863715806505,0.19043,-0.831543,0.576172
1533863715820464,0.202637,-0.836426,0.583984
1533863715844401,0.192383,-0.832031,0.571777
1533863715859364,0.177734,-0.82959,0.556152
1533863715880304,0.194824,-0.833496,0.553223
1533863715896262,0.207031,-0.835449,0.564941
1533863715933162,0.201172,-0.833984,0.557617
1533863715940143,0.191406,-0.826172,0.558594
1533863715957099,0.19043,-0.82959,0.55127
1533863715979040,0.192383,-0.832031,0.535156
1533863716000018,0.194336,-0.844238,0.543945
1533863716016949,0.196289,-0.846191,0.549316
1533863716038880,0.192871,-0.852051,0.566895
1533863716059827,0.198242,-0.866699,0.581543
1533863716082960,0.193848,-0.855957,0.572754
1533863716099759,0.17334,-0.839844,0.564941
1533863716121660,0.172852,-0.86084,0.566895
1533863716136618,0.186035,-0.84668,0.564941
1533863716159557,0.187012,-0.828125,0.559082
1533863716181499,0.182617,-0.817383,0.560059
1533863716187653,0.190918,-0.8125,0.574707
1533863716202442,0.182617,-0.814941,0.592285
1533863716224386,0.188477,-0.814941,0.594238
1533863716256303,0.192383,-0.807129,0.592285
1533863716262284,0.187012,-0.806152,0.577148
1533863716284260,0.193848,-0.826172,0.577637
1533863716307163,0.194824,-0.839844,0.564453
1533863716322125,0.184082,-0.824707,0.551758
1533863716345064,0.175293,-0.80957,0.551758
1533863716367005,0.181152,-0.815918,0.560547
1533863716383957,0.195313,-0.82959,0.565918
1533863716407893,0.197754,-0.824707,0.568848
1533863716426843,0.185547,-0.819824,0.567383
1533863716450791,0.187012,-0.840332,0.564453
1533863716464744,0.179199,-0.855469,0.565918
1533863716487683,0.17334,-0.854492,0.566895
1533863716503637,0.166992,-0.841309,0.574219
1533863716527572,0.175293,-0.833008,0.560547
1533863716547519,0.18457,-0.82959,0.558105
1533863716563491,0.177734,-0.833008,0.562988
1533863716584424,0.19043,-0.827637,0.54834
1533863716607363,0.203613,-0.846191,0.563477
1533863716623316,0.182129,-0.858398,0.55127
1533863716644264,0.167969,-0.848145,0.554199
1533863716667203,0.158691,-0.831543,0.55127
1533863716683157,0.169434,-0.842285,0.552246
1533863716705101,0.187988,-0.848633,0.544434
1533863716727209,0.185059,-0.831055,0.528809
1533863716743993,0.174316,-0.812988,0.523438
1533863716764938,0.181152,-0.833496,0.533203
1533863716787048,0.189453,-0.865723,0.535156
1533863716803834,0.183594,-0.871582,0.538086
1533863716827770,0.163086,-0.844727,0.539063
1533863716846719,0.155273,-0.845703,0.55127
1533863716863680,0.158203,-0.864746,0.549805
1533863716884621,0.166016,-0.873047,0.541016
1533863716915535,0.162598,-0.866699,0.520508
1533863716923514,0.154297,-0.856445,0.51709
1533863716944672,0.179199,-0.873535,0.504883
1533863716967400,0.191895,-0.885742,0.499023
1533863716985348,0.171875,-0.870605,0.500488
1533863717004297,0.152832,-0.857422,0.493164
1533863717027236,0.160156,-0.866699,0.491699
1533863717045188,0.171875,-0.873047,0.501465
1533863717065138,0.17334,-0.871094,0.496582
1533863717087077,0.174316,-0.874023,0.496582
1533863717105029,0.170898,-0.894531,0.490234
1533863717131960,0.180664,-0.919434,0.481934
1533863717146934,0.172363,-0.911621,0.481934
1533863717170944,0.16748,-0.896484,0.479492
1533863717184822,0.158203,-0.893555,0.467285
1533863717206954,0.157715,-0.901855,0.469238
1533863717224708,0.179688,-0.897461,0.472168
1533863717245652,0.187988,-0.899414,0.459473
1533863717267597,0.162598,-0.898438,0.45459
1533863717284549,0.17627,-0.904785,0.439453
1533863717304498,0.183105,-0.893555,0.444336
1533863717327436,0.174316,-0.881348,0.449219
1533863717345385,0.184082,-0.883789,0.454102
1533863717364335,0.17627,-0.899902,0.468262
1533863717387277,0.171875,-0.909668,0.463867
1533863717405226,0.153809,-0.90918,0.467773
1533863717425175,0.161621,-0.90625,0.462891
1533863717447169,0.160645,-0.895996,0.458496
1533863717470052,0.15918,-0.899902,0.466797
1533863717485015,0.174316,-0.912598,0.473633
1533863717506956,0.172852,-0.910645,0.473633
1533863717524905,0.157715,-0.915039,0.464844
1533863717544855,0.14502,-0.902344,0.452148
1533863717566796,0.153809,-0.903809,0.442871
1533863717584762,0.183594,-0.918945,0.450195
