timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533260489071376,-3,0,20,1,0,2,2,-2
1533260489071376,-4,7,-1,-25,-7,-3,-1,1
1533260489071376,2,4,8,10,-1,-2,0,0
1533260489071376,1,-3,-13,5,-2,0,-2,-1
1533260489093377,3,7,19,-10,1,1,1,1
1533260489093377,1,7,1,15,3,0,-4,-2
1533260489094364,3,2,-15,-4,-1,-1,-3,1
1533260489094364,-5,-6,-12,-22,-6,-2,0,-4
1533260489116392,-4,1,-21,-8,-2,-1,-1,-2
1533260489116392,3,9,63,-7,-4,-3,2,-1
1533260489117384,-3,-22,-26,0,-4,-1,-2,-5
1533260489117384,-6,7,-6,9,1,-1,-1,1
1533260489131405,-1,-10,1,-13,-4,0,-1,-4
1533260489131405,0,7,27,0,3,0,-1,-1
1533260489131405,1,-22,-12,2,1,-1,-1,1
1533260489131405,3,-8,0,14,1,0,-2,0
1533260489153414,5,20,-13,-18,-4,-2,1,0
1533260489153414,-4,7,-1,8,0,1,-2,-2
1533260489154420,-2,6,21,-1,4,-1,-2,0
1533260489154420,1,-1,30,13,8,2,0,-2
1533260489176517,1,-11,-78,-24,5,0,0,2
1533260489176517,-8,-6,22,14,-7,-5,-3,-4
1533260489177486,-2,9,-80,-30,-3,-2,-3,-1
1533260489177486,-4,-6,41,-15,-14,-6,-3,-3
1533260489190491,0,5,13,13,5,3,0,1
1533260489190491,1,13,44,20,2,2,1,3
1533260489191478,-8,-24,-68,-55,-10,-9,-4,-8
1533260489191478,2,8,40,24,8,3,-2,0
1533260489213553,-2,3,-85,-6,-14,-2,-2,-2
1533260489213553,-7,-11,9,-15,-15,-14,-1,-4
1533260489214553,8,17,102,22,18,18,7,6
1533260489214553,0,-3,-61,-4,6,-1,0,2
1533260489236564,-4,1,52,-10,4,-1,-1,1
1533260489236564,6,11,-29,1,2,4,1,1
1533260489237568,-1,0,9,17,-13,-10,-2,-2
1533260489237568,0,-3,13,-20,-5,0,-1,-1
1533260489250579,-3,-17,28,28,6,-2,0,-2
1533260489250579,-1,-6,-52,-19,-1,-1,0,-2
1533260489251563,-2,3,35,7,-5,-2,0,-3
1533260489251563,0,2,2,2,-18,-5,-2,0
1533260489273595,-4,-7,-7,-20,-4,1,0,0
1533260489273595,-1,5,25,2,-1,2,-2,0
1533260489274596,-8,3,24,-18,-12,-5,-5,-4
1533260489274596,3,3,25,32,19,5,-2,1
1533260489303698,1,-20,-84,-2,-4,-5,3,-1
1533260489303698,9,7,0,8,23,6,7,3
1533260489304666,-3,0,-64,6,-9,-3,-4,-1
1533260489304666,-10,17,17,-34,-33,-7,-6,-6
1533260489312726,-1,16,57,-2,1,3,0,-1
1533260489312726,-5,-4,-75,7,15,0,-1,-1
1533260489313748,1,8,33,-4,-15,-12,-4,2
1533260489313748,-5,-27,-36,-28,-1,-9,-5,-5
1533260489333763,1,-6,12,32,7,14,1,-3
1533260489333763,3,13,29,5,11,9,5,1
1533260489334751,1,6,2,3,19,6,0,-1
1533260489334751,0,4,-28,-12,-15,-7,-2,-1
1533260489356739,-2,-1,26,3,0,-5,-4,-2
1533260489356739,0,-6,2,-29,-11,-8,-5,-3
1533260489357740,2,1,1,7,-12,-4,-4,-1
1533260489357740,-1,-6,-19,2,8,-6,2,-1
1533260489370751,2,1,12,6,3,4,5,1
1533260489370751,-5,-6,-6,23,5,-10,-4,-3
1533260489371738,-3,-2,-15,5,5,-9,0,0
1533260489371738,-4,-6,6,11,0,1,0,-3
1533260489393768,-1,-2,21,-5,-13,-8,-4,2
1533260489393768,-4,-3,-19,-20,0,5,-2,-1
1533260489393768,-1,-3,18,26,16,9,0,-2
1533260489393768,2,-2,-46,-3,-11,4,-2,-1
1533260489423871,0,0,-1,-6,1,9,1,0
1533260489423871,2,-6,-7,-7,-1,7,0,-2
1533260489424836,-2,-5,-8,-16,-3,1,-1,0
1533260489424836,-2,-3,-3,11,3,4,0,2
1533260489429839,-5,-2,-4,-8,-2,0,-1,-3
1533260489429839,-1,-4,-3,27,7,-7,0,-3
1533260489438846,7,2,27,5,-4,0,4,-2
1533260489438846,4,5,26,8,14,0,2,2
1533260489453846,3,-6,-3,-49,-19,-13,-5,3
1533260489453846,-5,-4,9,59,-9,6,-2,-1
1533260489453846,-29,5,-1,-10,14,11,2,-4
1533260489453846,-6,-1,3,-24,-8,-16,-7,-8
1533260489476857,19,8,-18,-23,-30,-35,-11,2
1533260489476857,21,7,-7,-30,-24,7,3,4
1533260489477857,-15,-1,8,43,70,33,14,0
1533260489477857,-27,-14,-10,13,12,9,-2,-17
1533260489490867,-10,-6,-3,-21,-16,-15,-7,-7
1533260489490867,10,-4,3,0,-18,-7,-5,-2
1533260489491868,34,3,7,12,-9,-8,1,9
1533260489491868,-14,2,-12,0,11,10,6,6
1533260489513885,6,-2,14,24,10,-1,-2,0
1533260489513885,-8,-3,-1,-45,-31,-13,-7,-3
1533260489513885,-13,-4,-10,12,-13,-5,-6,-7
1533260489513885,17,-1,-7,21,9,1,1,4
1533260489543904,32,5,2,-3,11,4,1,4
1533260489543904,-13,0,2,-6,-11,1,0,-2
1533260489544905,-42,-25,-3,-32,-24,-13,-11,-15
1533260489544905,9,4,-7,8,6,2,7,5
1533260489549909,-12,2,9,12,-1,10,3,-2
1533260489549909,13,2,5,-15,-3,-7,-4,-3
1533260489558915,10,2,-10,-1,33,19,5,2
1533260489558915,7,3,15,18,0,-8,-3,4
1533260489573926,-2,0,2,12,5,3,1,-2
1533260489573926,-1,0,-5,-12,-7,-12,1,3
1533260489573926,-1,-3,-3,-38,-52,-22,-10,-5
1533260489573926,9,3,-5,-20,0,7,-1,-1
1533260489603948,-5,0,4,40,29,10,6,1
1533260489603948,-9,2,-3,-72,-24,-14,-6,-4
1533260489604948,20,4,3,61,5,8,4,6
1533260489604948,-6,13,23,10,30,15,11,0
1533260489626973,-28,-23,-9,-10,-15,-16,-13,-15
1533260489626973,-13,-12,-8,2,-26,-22,-16,-6
1533260489627972,15,0,-10,-24,-10,-11,-8,1
1533260489627972,29,9,7,4,21,24,16,10
1533260489641989,-10,12,4,23,6,-1,1,-1
1533260489641989,1,9,-4,23,26,11,4,0
1533260489643990,6,9,2,-4,-19,-20,-7,5
1533260489643990,-11,48,-6,-11,-29,-18,-14,-6
1533260489655999,-9,58,8,-12,6,9,2,-1
1533260489655999,6,-18,9,16,26,8,4,0
1533260489663004,8,3,8,-24,-8,-2,-1,-2
1533260489663004,-9,-72,3,10,-12,-4,-6,-3
1533260489679013,4,86,2,-25,-17,0,-1,-2
1533260489679013,8,-15,-1,33,25,13,3,2
1533260489681014,-33,37,2,-11,-5,-3,-2,-6
1533260489681014,-3,21,-9,-21,3,-4,-8,-4
1533260489709036,3,-70,-3,-11,-5,-21,-6,3
1533260489709036,-6,-21,-9,-21,-35,-18,-18,-6
1533260489711037,9,-33,10,29,49,36,31,5
1533260489711037,23,-12,8,4,12,0,5,3
1533260489715088,-10,50,-7,10,1,6,-1,-3
1533260489715088,-4,28,1,6,0,-5,-3,-5
1533260489724105,-18,-128,3,-13,-20,-16,-11,-1
1533260489724105,-25,-52,91,-1,-23,-11,-8,-3
1533260489739137,13,44,110,16,6,9,7,3
