acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ori_x,ori_y,ori_z,ori_w,orie_x,orie_y,orie_z
-1.00146,-0.0405273,0.0610352,-0.625,-0.25,0.3125,-0.206055,0.648621,0.197571,0.705505,-0.43742,1.48869,0.14153
-0.998047,-0.0366211,0.074707,-1.0625,-0.9375,0.0625,-0.206116,0.648438,0.197693,0.705566,-0.435499,1.48743,0.143211
-0.997559,-0.0356445,0.0668945,-0.8125,-0.25,0.1875,-0.206116,0.648438,0.197693,0.705566,-0.435499,1.48743,0.143211
-1.00098,-0.0361328,0.065918,-0.75,-0.75,0.1875,-0.206177,0.648499,0.197693,0.705566,-0.437267,1.48876,0.142222
-1.00098,-0.0385742,0.0668945,-0.5,-0.3125,0.3125,-0.206177,0.648499,0.197693,0.705566,-0.437267,1.48876,0.142222
-1.00684,-0.0361328,0.065918,-0.875,-0.375,0.4375,-0.206177,0.648499,0.197693,0.705505,-0.436988,1.4878,0.141929
-0.998535,-0.0415039,0.0688477,-0.875,-0.75,0.0625,-0.206177,0.648499,0.197632,0.705505,-0.437867,1.4875,0.1408
-1.00098,-0.0375977,0.0664062,-0.625,-0.4375,0.3125,-0.206177,0.648499,0.197632,0.705505,-0.437867,1.4875,0.1408
-1.00195,-0.0371094,0.0693359,-0.9375,-0.5625,0.375,-0.206177,0.64856,0.197632,0.705505,-0.438423,1.48854,0.140767
-1.00195,-0.0361328,0.065918,-0.625,-0.625,0.1875,-0.206238,0.64856,0.197632,0.705505,-0.439643,1.48883,0.139804
-1.00146,-0.0371094,0.065918,-0.875,-0.5,0.5,-0.206238,0.64856,0.197632,0.705505,-0.439643,1.48883,0.139804
-0.998047,-0.0390625,0.0639648,-0.5625,-0.375,0.1875,-0.206238,0.64856,0.197632,0.705444,-0.439363,1.48787,0.139511
-0.995605,-0.0390625,0.074707,-0.8125,-0.75,0.125,-0.206238,0.64856,0.197632,0.705444,-0.439363,1.48787,0.139511
-0.996094,-0.0375977,0.0600586,-0.75,-0.0625,0.5,-0.206238,0.648621,0.197571,0.705444,-0.440805,1.48861,0.138344
-1.00244,-0.0380859,0.0703125,-0.875,-0.9375,0.1875,-0.206238,0.648621,0.197571,0.705444,-0.440805,1.48861,0.138344
-1.00098,-0.0395508,0.0678711,-0.6875,-0.625,0.25,-0.206299,0.648621,0.197571,0.705444,-0.442028,1.4889,0.137379
-1,-0.0400391,0.0649414,-0.5,-0.0625,0.5625,-0.206299,0.648621,0.197571,0.705444,-0.442028,1.4889,0.137379
-0.999512,-0.0341797,0.0698242,-0.875,-0.875,0.1875,-0.206299,0.648621,0.197571,0.705383,-0.441748,1.48794,0.137085
-1.00244,-0.0375977,0.0673828,-0.5625,-0.3125,0.1875,-0.206299,0.648621,0.197571,0.705383,-0.441748,1.48794,0.137085
-0.996582,-0.0400391,0.0703125,-0.8125,-0.375,0.375,-0.206299,0.648682,0.19751,0.705383,-0.443196,1.48868,0.135912
-0.999023,-0.0405273,0.0673828,-0.625,-0.5,0,-0.20636,0.648682,0.19751,0.705383,-0.444421,1.48898,0.134945
-0.999023,-0.0405273,0.0732422,-0.125,-0.0625,-0.125,-0.20636,0.648682,0.19751,0.705383,-0.444421,1.48898,0.134945
-0.999512,-0.0419922,0.0639648,0.125,0.25,-0.125,-0.20636,0.648682,0.19751,0.705383,-0.444421,1.48898,0.134945
-0.997559,-0.0375977,0.0673828,-0.0625,0.1875,-0.3125,-0.20636,0.648682,0.19751,0.705383,-0.444421,1.48898,0.134945
-1.00391,-0.0375977,0.0678711,0,-0.125,-0.3125,-0.20636,0.648682,0.19751,0.705383,-0.444421,1.48898,0.134945
-0.997559,-0.0415039,0.0712891,0.4375,0.25,-0.1875,-0.206421,0.648682,0.197449,0.705383,-0.446526,1.48896,0.132847
-1.00098,-0.0341797,0.0605469,0.0625,0.3125,0.0625,-0.206421,0.648743,0.197449,0.705322,-0.446822,1.48905,0.132503
-1.00049,-0.0356445,0.0600586,0.4375,-0.1875,-0.125,-0.206421,0.648743,0.197449,0.705322,-0.446822,1.48905,0.132503
-0.998535,-0.0390625,0.0668945,-0.0625,0.0625,0.0625,-0.206421,0.648743,0.197449,0.705322,-0.446822,1.48905,0.132503
-0.998047,-0.0371094,0.0654297,-0.3125,0.0625,0.0625,-0.206421,0.648743,0.197449,0.705261,-0.446541,1.48808,0.132208
-1.00781,-0.0395508,0.0668945,-0.1875,-0.5625,-0.25,-0.206421,0.648804,0.197449,0.705261,-0.447118,1.48913,0.132157
-0.998535,-0.0371094,0.0634766,-0.25,0.0625,0.125,-0.206482,0.648804,0.197388,0.705261,-0.449231,1.48912,0.130053
-1.00342,-0.0361328,0.065918,-0.3125,0.0625,-0.0625,-0.206482,0.648804,0.197388,0.705261,-0.449231,1.48912,0.130053
-1.00049,-0.0405273,0.0654297,-0.0625,-0.25,-0.3125,-0.206482,0.648804,0.197388,0.7052,-0.44895,1.48815,0.129757
-0.998535,-0.0390625,0.0668945,-0.0625,0.1875,0,-0.206482,0.648865,0.197388,0.7052,-0.449533,1.4892,0.129701
-0.999023,-0.0385742,0.0654297,-0.25,0.0625,-0.0625,-0.206482,0.648865,0.197388,0.7052,-0.449533,1.4892,0.129701
-1.00098,-0.0366211,0.0688477,0.0625,-0.25,0,-0.206482,0.648865,0.197388,0.7052,-0.449533,1.4892,0.129701
-0.999512,-0.0361328,0.0615234,0,0.4375,0.125,-0.206543,0.648865,0.197388,0.7052,-0.450765,1.4895,0.128728
-1.00342,-0.0361328,0.0708008,0.0625,-0.25,-0.1875,-0.206543,0.648865,0.197388,0.7052,-0.450765,1.4895,0.128728
-0.998535,-0.0400391,0.0668945,-0.0625,-0.125,-0.125,-0.206543,0.648865,0.197327,0.705139,-0.451368,1.48822,0.127298
-1.00391,-0.0366211,0.0644531,-0.125,0.3125,0.125,-0.206543,0.648926,0.197327,0.705139,-0.451956,1.48927,0.127237
