timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
28516075668,-1,0,-5,1,1,1,-1,-3
28516075668,-2,-2,18,-2,-2,-6,-2,-1
28516083179,0,-1,-50,-2,1,4,-3,-1
28516083179,-1,0,-51,0,0,3,-1,-1
28516098184,-2,-3,25,0,-5,-8,-6,-2
28516098184,-2,-1,-5,-1,1,5,0,-2
28516106400,-1,0,-25,0,1,0,-1,-1
28516106400,-1,-2,-32,-4,-2,-8,-1,0
28516113203,-3,-4,-15,-4,-2,-2,-3,-2
28516113203,1,-1,-57,-4,0,2,0,-2
28516128953,1,-1,21,-2,-1,0,2,0
28516128953,-2,-3,12,-3,-3,-8,-1,-4
28516143833,-1,-1,-26,0,0,5,4,-2
28516143833,-1,0,-11,0,-1,2,3,-1
28516144655,-3,-2,-23,-2,-4,-8,-1,-2
28516144655,-1,-2,-31,1,0,7,0,1
28516158290,-1,-2,-10,-3,0,-1,-2,-2
28516158290,0,0,0,-3,-4,-9,-3,-3
28516166444,-3,-2,21,-3,-3,-3,-3,-2
28516166444,2,-1,67,0,0,0,-3,-2
28516173206,-1,-1,-8,-2,-2,1,-2,-2
28516173206,-4,-2,-10,-4,-4,-10,-4,-1
28516180717,-2,-2,-20,0,0,2,2,0
28516180717,0,0,-52,0,0,1,-1,1
28516195721,-1,-3,-36,-5,-3,-9,-5,-3
28516195721,-1,-1,-3,-1,3,5,4,0
28516203241,0,0,-22,1,-1,3,1,0
28516203241,-2,-1,-40,-2,-4,-7,-3,-3
28516218231,-3,-2,-15,-3,-1,-3,-3,0
28516218231,-1,1,-53,0,0,4,-4,-2
28516226432,1,0,7,-2,-1,1,-3,-2
28516226432,-4,-2,3,-4,-2,-9,-3,-1
28516233168,1,-1,-32,-4,0,3,0,-2
28516233168,0,0,-8,-1,0,3,2,0
28516248896,-1,1,33,1,-3,-6,-4,-2
28516248896,-1,-1,-19,1,-1,1,1,-2
28516255729,-1,-1,-35,-2,0,3,3,1
28516255729,-2,-2,12,-3,-4,-10,-8,-3
28516263262,-2,-2,2,-3,-1,-2,-4,-2
28516263262,-1,-1,4,-2,1,3,-3,-2
28516278164,-1,0,4,-2,-3,1,-1,-3
28516278164,-1,-2,-2,-2,-3,-7,-2,-2
28516286434,0,-2,-99,-2,-1,2,0,-1
28516286434,-1,-1,-45,-1,-1,0,2,-4
28516293182,-2,-2,-21,-3,-3,-8,-2,-1
28516293182,-2,-3,-25,-4,-2,0,1,-1
28516308899,0,-3,-9,1,0,-1,-2,-2
28516308899,-4,-1,-25,-3,-4,-9,-2,-1
28516315703,-2,-1,-17,-3,-2,0,-2,-1
28516315703,1,-1,11,-1,1,3,0,1
28516323206,-1,0,12,-2,0,0,2,-2
28516323206,-2,-3,-8,-3,-3,-4,-4,-2
28516338215,0,-2,-6,-3,1,2,-1,-3
28516338215,-1,0,-14,0,0,0,1,-1
28516346431,-3,-2,-39,-3,-4,-9,-3,-1
28516346431,-2,-1,-15,0,1,3,-2,-2
28516353250,-1,-2,-31,0,1,1,-1,-2
28516353250,-1,-3,-17,-4,-2,-8,-3,-2
28516369092,-2,-3,16,-1,0,1,-3,-2
28516369092,-1,-1,7,-1,-1,2,-1,-2
28516375710,-1,0,-9,-1,-1,-5,-2,0
28516375710,-3,-3,-6,-3,-3,-6,-1,-2
28516383381,-2,-1,-86,-1,-1,0,1,-1
28516383381,0,-1,-45,-2,-1,1,-1,-1
28516398227,-2,-3,-2,-4,-5,-8,-8,-3
28516398227,-1,-2,-8,-1,2,6,-1,0
28516406453,0,0,4,-1,2,3,1,-1
28516406453,-1,-1,-21,-3,-4,-6,-1,-1
28516413416,-2,-1,-14,-1,-2,2,-1,0
28516413416,1,-2,-65,0,-1,1,-2,-1
28516428959,-1,0,17,-3,-4,-5,-2,-1
28516428959,-2,-3,-12,-4,-3,-7,-3,-3
28516435792,-1,-3,-73,-3,-1,2,4,0
28516435792,2,-1,-9,-1,1,4,5,1
28516443366,-2,-3,-18,-3,-4,-7,-4,-1
28516443366,-1,-2,-28,-1,-1,9,0,0
28516458250,1,0,-13,-1,1,2,0,1
28516458250,-1,-1,3,-2,-4,-8,-4,-2
28516466602,-2,-2,10,0,0,2,-2,-2
28516466602,0,-2,23,-3,1,1,2,-1
28516473282,1,0,3,-2,0,-5,5,2
28516473282,-3,-1,-9,-3,-4,-6,-1,-1
28516488958,-1,0,-63,-3,-1,1,-2,-2
28516488958,0,-1,-40,-1,0,2,-2,1
28516495953,-3,-1,19,0,-2,-6,-4,-1
28516495953,-2,-2,-8,0,2,7,0,-1
28516503329,0,-1,5,2,1,0,0,0
28516503329,0,-2,-24,-3,-2,-9,-3,-1
28516518411,-1,0,-24,-2,-1,1,5,0
28516518411,-1,-2,-50,0,-1,0,0,0
28516526551,-1,-2,6,-4,-4,-6,0,-1
28516526551,-2,-1,-24,-3,-3,-5,0,-2
28516533385,0,0,-11,3,1,3,-1,-4
28516533385,0,1,-13,-1,0,2,-3,0
28516549073,-2,-2,-5,-3,-4,-5,-7,-2
28516549073,0,-1,-17,2,1,4,-4,-1
28516555750,-2,-3,-32,-1,0,2,-4,-5
