timestamp,roll,pitch,yaw
1533862416971312,-1.0361,-0.222321,-1.49954
1533862416996280,-1.03597,-0.222243,-1.49953
1533862417009245,-1.03597,-0.222243,-1.49953
1533862417031166,-1.03599,-0.222296,-1.4997
1533862417055091,-1.03597,-0.222243,-1.49953
1533862417070053,-1.03613,-0.221801,-1.49942
1533862417091990,-1.03582,-0.221466,-1.49943
1533862417137867,-1.03582,-0.221466,-1.49943
1533862417139861,-1.03562,-0.221428,-1.49936
1533862417151844,-1.03562,-0.221428,-1.49936
1533862417174768,-1.03534,-0.221519,-1.49939
1533862417192720,-1.03534,-0.221519,-1.49939
1533862417220842,-1.03534,-0.221519,-1.49939
1533862417263530,-1.03506,-0.220849,-1.49921
1533862417273507,-1.03452,-0.220324,-1.49922
1533862417275511,-1.03452,-0.220324,-1.49922
1533862417294452,-1.03438,-0.219873,-1.49937
1533862417309408,-1.03438,-0.219873,-1.49937
1533862417331349,-1.03395,-0.219459,-1.49938
1533862417353294,-1.03321,-0.218896,-1.49932
1533862417371243,-1.03294,-0.218366,-1.49946
1533862417391193,-1.03302,-0.217705,-1.49964
1533862417413131,-1.03357,-0.216479,-1.49969
1533862417428091,-1.0334,-0.215603,-1.49982
1533862417451032,-1.0334,-0.215603,-1.49982
1533862417472974,-1.0334,-0.215603,-1.49982
1533862417487930,-1.0334,-0.215603,-1.49982
1533862417510868,-1.03216,-0.21566,-1.49944
1533862417533979,-1.03097,-0.21611,-1.49909
1533862417548768,-1.03014,-0.217064,-1.49827
1533862417570709,-1.02978,-0.219615,-1.49767
1533862417593651,-1.02977,-0.222981,-1.49724
1533862417608681,-1.03089,-0.226658,-1.49676
1533862417630591,-1.03206,-0.229736,-1.49656
1533862417653529,-1.03237,-0.232447,-1.49639
1533862417668492,-1.0329,-0.235172,-1.49673
1533862417690470,-1.0371,-0.238282,-1.49684
1533862417713369,-1.04205,-0.240737,-1.49679
1533862417729326,-1.04605,-0.242222,-1.49676
1533862417751271,-1.04728,-0.242939,-1.49633
1533862417775204,-1.04684,-0.243399,-1.49676
1533862417791162,-1.04725,-0.244766,-1.49771
1533862417811111,-1.05242,-0.246825,-1.49816
1533862417833053,-1.05255,-0.247295,-1.49757
1533862417850233,-1.05062,-0.246397,-1.49652
1533862417871169,-1.05016,-0.246753,-1.49573
1533862417893114,-1.05144,-0.247535,-1.49508
1533862417909349,-1.05314,-0.246444,-1.49386
1533862417931282,-1.05645,-0.242941,-1.49316
1533862417953222,-1.05383,-0.237652,-1.49134
1533862417976158,-1.05009,-0.230823,-1.48981
1533862417994315,-1.04768,-0.219406,-1.48689
1533862418013059,-1.04699,-0.202318,-1.48306
1533862418036001,-1.04435,-0.182091,-1.47832
1533862418050958,-1.04093,-0.158437,-1.47148
1533862418072899,-1.038,-0.131721,-1.46426
1533862418095837,-1.03237,-0.0999795,-1.45678
1533862418110801,-1.02751,-0.0637931,-1.44741
1533862418133739,-1.02491,-0.0269341,-1.43643
1533862418155693,-1.02219,0.0124094,-1.42477
1533862418170641,-1.01705,0.0533886,-1.41212
1533862418193580,-1.01011,0.0969214,-1.39848
1533862418218510,-1.00507,0.142125,-1.38273
1533862418230491,-1.00139,0.188071,-1.3653
1533862418254417,-0.997632,0.23459,-1.34575
1533862418276493,-0.993663,0.281071,-1.32426
1533862418293309,-0.991626,0.326103,-1.30126
1533862418316255,-0.990377,0.367999,-1.27799
