acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ori_x,ori_y,ori_z,ori_w,orie_x,orie_y,orie_z
0.22168,-0.867188,0.509277,0.3125,0.5,-0.375,-0.425842,0.264832,-0.628601,0.594482,-1.0361,-0.222321,-1.49954
0.217285,-0.855957,0.519531,0.125,-0.25,0,-0.425781,0.264832,-0.628601,0.594482,-1.03597,-0.222243,-1.49953
0.226563,-0.848633,0.514648,0.9375,-0.5625,-0.125,-0.425781,0.264832,-0.628601,0.594482,-1.03597,-0.222243,-1.49953
0.221191,-0.848633,0.507813,0.3125,-0.5625,-0.0625,-0.425781,0.264832,-0.628662,0.594482,-1.03599,-0.222296,-1.4997
0.224609,-0.858398,0.503906,-0.375,-0.0625,-0.125,-0.425781,0.264832,-0.628601,0.594482,-1.03597,-0.222243,-1.49953
0.224121,-0.86084,0.508301,-0.5,0.1875,1.125,-0.42572,0.265015,-0.628479,0.594543,-1.03613,-0.221801,-1.49942
0.22168,-0.864746,0.509277,1.25,0.3125,0.6875,-0.425537,0.265015,-0.628479,0.594727,-1.03582,-0.221466,-1.49943
0.224121,-0.863281,0.518555,0.75,0.5,0.375,-0.425537,0.265015,-0.628479,0.594727,-1.03582,-0.221466,-1.49943
0.223633,-0.856445,0.518066,0.1875,-0.125,0.25,-0.425476,0.264954,-0.628479,0.594788,-1.03562,-0.221428,-1.49936
0.221191,-0.858398,0.511719,0.5625,-0.1875,0.0625,-0.425476,0.264954,-0.628479,0.594788,-1.03562,-0.221428,-1.49936
0.223633,-0.849121,0.504395,1.0625,-0.3125,0,-0.425415,0.264832,-0.62854,0.594849,-1.03534,-0.221519,-1.49939
0.219727,-0.855957,0.501465,0.75,-0.4375,-0.3125,-0.425415,0.264832,-0.62854,0.594849,-1.03534,-0.221519,-1.49939
0.219238,-0.860352,0.504395,0.4375,0.3125,0.5,-0.425415,0.264832,-0.62854,0.594849,-1.03534,-0.221519,-1.49939
0.220215,-0.861328,0.508789,0.75,0.625,1.3125,-0.425171,0.264954,-0.628418,0.595032,-1.03506,-0.220849,-1.49921
0.219727,-0.855469,0.51123,1.4375,0.4375,1.25,-0.424866,0.264954,-0.628418,0.595276,-1.03452,-0.220324,-1.49922
0.221191,-0.854004,0.510742,0.625,0.625,0.6875,-0.424866,0.264954,-0.628418,0.595276,-1.03452,-0.220324,-1.49922
0.222168,-0.861816,0.509766,0.625,1.0625,0.6875,-0.424683,0.265076,-0.628418,0.595398,-1.03438,-0.219873,-1.49937
0.215332,-0.864746,0.506836,0.5625,0.6875,0.5625,-0.424683,0.265076,-0.628418,0.595398,-1.03438,-0.219873,-1.49937
0.220215,-0.856934,0.514648,1,0.3125,0.9375,-0.424438,0.265076,-0.628418,0.595581,-1.03395,-0.219459,-1.49938
