timestamp,roll,pitch,yaw
655959478007,-0.902008,-0.298086,-1.94018
655959478778,-0.901798,-0.297463,-1.94089
655959486275,-0.90151,-0.296713,-1.94204
655959491452,-0.901683,-0.295882,-1.94287
655959504510,-0.901868,-0.294897,-1.94376
655959527027,-0.902377,-0.294637,-1.94392
655959550863,-0.902377,-0.294637,-1.94392
655959565921,-0.902756,-0.294941,-1.94355
655959587312,-0.903214,-0.295379,-1.94319
655959610880,-0.904193,-0.296102,-1.94221
655959642181,-0.904256,-0.296816,-1.94148
655959647186,-0.903654,-0.297172,-1.94097
655959670896,-0.903034,-0.297409,-1.94056
655959717145,-0.903528,-0.297729,-1.93998
655959717951,-0.904093,-0.29869,-1.93892
655959730156,-0.903865,-0.299506,-1.93797
655959752651,-0.904489,-0.299933,-1.93524
655959767685,-0.904537,-0.305648,-1.93203
655959791614,-0.903748,-0.294402,-1.93295
655959805975,-0.899852,-0.295282,-1.93274
655959835291,-0.895051,-0.29989,-1.9325
655959851631,-0.893306,-0.306395,-1.93144
655959866064,-0.895039,-0.306074,-1.93172
655959889107,-0.895593,-0.305309,-1.93248
655959911661,-0.897055,-0.305373,-1.93237
655959932766,-0.897172,-0.305315,-1.93242
655959949178,-0.897178,-0.305235,-1.93222
655959971659,-0.897018,-0.305043,-1.93192
655959992710,-0.896661,-0.304705,-1.93226
655960009145,-0.895823,-0.304835,-1.93254
655960031602,-0.895024,-0.304263,-1.93333
655960052737,-0.894994,-0.304808,-1.93288
655960069187,-0.895743,-0.305223,-1.93295
655960091607,-0.897383,-0.305676,-1.93279
655960112651,-0.899192,-0.305573,-1.93329
655960129122,-0.900001,-0.304542,-1.93421
655960151673,-0.899092,-0.303878,-1.93547
655960172739,-0.898496,-0.303666,-1.93663
655960189104,-0.897721,-0.303732,-1.93729
655960211651,-0.896704,-0.303477,-1.93809
655960232933,-0.896156,-0.303578,-1.93833
655960250312,-0.896156,-0.303578,-1.93833
655960271632,-0.895783,-0.303118,-1.93877
655960292741,-0.895297,-0.302639,-1.93942
655960309112,-0.895014,-0.302156,-1.93994
655960331718,-0.895159,-0.302064,-1.93996
