timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
655960511226,-5,-2,-2,1,0,-3,-3,-1
655960511226,2,-3,-3,8,-1,-5,-2,-1
655960517081,3,2,5,13,1,2,1,3
655960517081,-3,0,0,3,11,-1,0,-3
655960533348,-3,-1,-10,0,3,-2,-2,-3
655960533348,1,-2,5,-15,-16,1,-3,-1
655960534979,-5,-1,3,9,-4,1,0,-3
655960534979,-4,-4,-5,6,1,0,0,-2
655960547692,3,-3,-7,-26,-4,-3,-1,-1
655960547692,-3,0,2,22,9,-1,-1,0
655960554489,0,0,8,17,4,1,0,-1
655960554489,-1,-4,-11,-13,-11,1,-2,-1
655960570845,4,2,5,-9,4,0,-1,0
655960570845,-5,-5,-7,-11,-5,-3,-2,-4
655960572473,-1,-1,0,2,1,0,3,-5
655960572473,5,2,7,23,3,-1,-7,7
655960593425,-8,-3,-10,-35,-12,-4,0,-3
655960593425,-4,-1,7,0,2,-1,4,1
655960594981,8,-1,-4,-2,3,2,-7,-2
655960594981,-6,-1,4,11,-8,-1,7,-3
655960607795,-7,1,4,2,2,-2,-17,-10
655960607795,4,-4,-6,-14,-9,-4,-8,-1
655960614491,2,3,-4,23,2,-2,2,3
655960614491,-1,-1,1,-1,-1,-1,8,4
655960630896,0,-5,3,10,1,1,-4,-8
655960630896,3,4,-1,-3,6,1,3,1
655960632428,-6,-2,-5,-37,-4,-1,-3,1
655960632428,-1,-2,-3,6,-4,-1,0,-5
655960653373,4,0,-1,-2,3,-3,-1,5
655960653373,0,-4,-10,16,2,2,0,-2
655960654966,-4,0,11,12,-3,-1,1,-3
655960654966,-3,-3,-5,9,-4,-4,-10,-4
655960667742,3,7,10,12,3,3,6,3
655960667742,-2,-1,2,3,1,1,2,-2
655960674486,-2,-4,-4,-28,-5,-3,-4,-1
655960674486,1,0,2,2,-3,-3,-6,-2
655960689605,-1,0,0,3,3,-1,2,1
655960689605,-2,1,3,15,-9,0,-2,-1
655960698504,-3,-2,-3,-37,-9,-2,-1,-2
655960698504,-2,3,-4,-22,3,1,-1,-1
655960713421,-6,-14,-1,21,1,0,2,1
655960713421,5,-6,-12,-41,2,-6,-5,0
655960714983,1,4,4,22,6,1,1,-1
655960714983,-4,-8,-8,-21,-20,-1,-2,-2
655960735957,0,1,-2,-12,11,-3,-1,0
