timestamp,roll,pitch,yaw
1533864477722923,-0.921084,-0.158635,-1.30307
1533864477746903,-0.922154,-0.159084,-1.30302
1533864477767852,-0.922844,-0.159842,-1.30307
1533864477782764,-0.923336,-0.160664,-1.30321
1533864477805722,-0.924117,-0.161734,-1.30314
1533864477829764,-0.925781,-0.162845,-1.30315
1533864477850582,-0.928096,-0.163706,-1.30295
1533864477895476,-0.930301,-0.164547,-1.30289
1533864477907431,-0.931669,-0.165501,-1.30271
1533864477908428,-0.932672,-0.166688,-1.30248
1533864477921392,-0.934179,-0.168096,-1.30266
1533864477941374,-0.936149,-0.169713,-1.30254
1533864477956303,-0.937547,-0.171716,-1.30206
1533864477981247,-0.938963,-0.174498,-1.30176
1533864478008160,-0.939695,-0.177772,-1.30157
1533864478020136,-0.940458,-0.181111,-1.30046
1533864478038096,-0.940708,-0.185119,-1.29925
1533864478053055,-0.941448,-0.190795,-1.2978
1533864478074982,-0.941105,-0.197518,-1.29699
1533864478097937,-0.939955,-0.20449,-1.29585
1533864478119872,-0.942335,-0.211983,-1.29445
1533864478134826,-0.947473,-0.221194,-1.29308
1533864478157761,-0.954036,-0.230896,-1.29133
1533864478180700,-0.960976,-0.237923,-1.28833
1533864478195659,-0.96148,-0.242763,-1.28574
1533864478217604,-0.960435,-0.249374,-1.28465
1533864478240745,-0.960916,-0.256533,-1.28322
1533864478255711,-0.96481,-0.263942,-1.28206
1533864478277444,-0.968995,-0.268966,-1.28168
1533864478300382,-0.970203,-0.273324,-1.28133
1533864478315339,-0.970962,-0.277788,-1.28229
1533864478337284,-0.972902,-0.281468,-1.28485
1533864478353237,-0.972107,-0.284501,-1.2879
1533864478383293,-0.971434,-0.286098,-1.29034
1533864478398139,-0.974013,-0.287835,-1.29286
1533864478413081,-0.976641,-0.289892,-1.29637
1533864478435019,-0.982183,-0.291005,-1.30112
1533864478457961,-0.991327,-0.291575,-1.3038
1533864478479916,-0.998251,-0.293899,-1.30565
1533864478494980,-1.00363,-0.29816,-1.30693
1533864478517803,-1.00781,-0.301372,-1.30721
1533864478540754,-1.01156,-0.302333,-1.30747
1533864478555696,-1.01316,-0.30126,-1.30768
1533864478577641,-1.0134,-0.295396,-1.30557
1533864478600577,-1.0117,-0.284143,-1.30092
1533864478615536,-1.00783,-0.269138,-1.29432
1533864478637684,-1.00352,-0.251344,-1.28499
1533864478660634,-1.00026,-0.230797,-1.27313
1533864478675376,-0.998247,-0.208495,-1.25958
1533864478697319,-0.997953,-0.18488,-1.24422
1533864478720259,-1.00127,-0.159177,-1.22785
1533864478735520,-1.00825,-0.131466,-1.20908
1533864478757465,-1.0106,-0.102781,-1.18957
1533864478780466,-1.01402,-0.075439,-1.16956
1533864478796358,-1.02172,-0.0486193,-1.14871
1533864478818300,-1.03022,-0.020336,-1.12769
1533864478840243,-1.03369,0.00910995,-1.10467
1533864478855206,-1.04275,0.0409432,-1.07876
1533864478878142,-1.05602,0.070269,-1.05142
1533864478900083,-1.07119,0.0960347,-1.02127
1533864478917035,-1.08636,0.124315,-0.9873
1533864478937982,-1.09924,0.154596,-0.951946
1533864478959938,-1.11163,0.185543,-0.916153
1533864478974885,-1.12211,0.217477,-0.877382
1533864478997892,-1.13097,0.248441,-0.835827
1533864479019761,-1.13782,0.277016,-0.792451
1533864479038833,-1.14407,0.304608,-0.749226
1533864479057662,-1.14955,0.331107,-0.706056
1533864479080603,-1.15244,0.357479,-0.662795
1533864479098551,-1.15384,0.381381,-0.620134
1533864479117498,-1.1559,0.403586,-0.578602
1533864479140443,-1.1584,0.425335,-0.538563
1533864479158649,-1.16232,0.440012,-0.501438
1533864479179590,-1.16558,0.452638,-0.467138
1533864479200537,-1.16975,0.464372,-0.437039
1533864479218486,-1.17488,0.475851,-0.410666
1533864479239436,-1.183,0.486948,-0.390044
1533864479260408,-1.18959,0.498484,-0.371776
1533864479278326,-1.20386,0.481954,-0.358584
1533864479299277,-1.18397,0.474193,-0.337565
1533864479320249,-1.18734,0.467193,-0.323376
1533864479346150,-1.20021,0.472137,-0.30947
1533864479359110,-1.19483,0.473835,-0.290116
1533864479380056,-1.18501,0.477193,-0.270077
1533864479405985,-1.1781,0.485068,-0.247384
1533864479418949,-1.17573,0.49559,-0.227215
1533864479439925,-1.17258,0.507355,-0.207873
1533864479457846,-1.16695,0.51989,-0.189273
1533864479480785,-1.15935,0.532126,-0.17112
1533864479500731,-1.15198,0.543417,-0.152775
1533864479517685,-1.14978,0.550824,-0.139312
1533864479546607,-1.14833,0.554598,-0.126363
1533864479560574,-1.14557,0.556828,-0.115096
1533864479578523,-1.13983,0.558446,-0.103404
1533864479600464,-1.1351,0.560404,-0.0927408
1533864479620517,-1.13463,0.561737,-0.083545
1533864479637473,-1.13223,0.562728,-0.0761071
1533864479667408,-1.1292,0.563081,-0.0704759
1533864479681356,-1.12636,0.56228,-0.066715
1533864479697312,-1.1257,0.560549,-0.0652326
1533864479720250,-1.12858,0.559334,-0.0647317
1533864479741194,-1.13259,0.55837,-0.0638513
1533864479757155,-1.13518,0.558453,-0.0624328
1533864479780099,-1.13653,0.559323,-0.0628134
1533864479794072,-1.13942,0.559345,-0.0649119
1533864479816991,-1.14351,0.558068,-0.0678919
1533864479839931,-1.14835,0.556769,-0.0698774
1533864479862869,-1.15183,0.555731,-0.0711419
1533864479877829,-1.15365,0.554624,-0.0720738
1533864479899770,-1.15479,0.553547,-0.0725996
1533864479920717,-1.15462,0.552998,-0.0729395
1533864479937677,-1.15404,0.552969,-0.0730696
1533864479959615,-1.15356,0.553505,-0.0735595
1533864479980554,-1.15267,0.554074,-0.0736546
