acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ori_x,ori_y,ori_z,ori_w,orie_x,orie_y,orie_z
0.250977,-0.905273,0.536133,2.75,1.8125,13,-0.459473,0.189331,-0.582031,0.643677,-1.0134,-0.295396,-1.30557
0.208496,-0.992188,0.54834,12.875,3.0625,26.375,-0.456726,0.191895,-0.578979,0.647583,-1.0117,-0.284143,-1.30092
0.167969,-0.994629,0.54248,21.125,3.3125,37.3125,-0.452576,0.194763,-0.57489,0.653259,-1.00783,-0.269138,-1.29432
0.140137,-0.960938,0.537598,23.5,1.1875,48,-0.447876,0.197937,-0.569458,0.660278,-1.00352,-0.251344,-1.28499
0.113281,-0.924805,0.518066,21.9375,-0.125,58.8125,-0.443115,0.201904,-0.562561,0.668152,-1.00026,-0.230797,-1.27313
0.0878906,-0.898438,0.510742,18.1875,-1.5,66.125,-0.438538,0.206543,-0.554565,0.676392,-0.998247,-0.208495,-1.25958
0.0791016,-0.871094,0.504395,12.75,-3.1875,73.6875,-0.434448,0.211792,-0.54541,0.684814,-0.997953,-0.18488,-1.24422
0.0698242,-0.883301,0.489258,2.625,-1.5,81,-0.431274,0.218628,-0.534973,0.69281,-1.00127,-0.159177,-1.22785
0.0249023,-0.896973,0.45752,-5.3125,-5.8125,89,-0.42926,0.226624,-0.522705,0.700867,-1.00825,-0.131466,-1.20908
-0.00830078,-0.84668,0.464355,3.6875,-6.625,92.5,-0.425598,0.233643,-0.510254,0.7099,-1.0106,-0.102781,-1.18957
-0.0385742,-0.824219,0.393066,2.3125,-10.5625,89.8125,-0.422791,0.240356,-0.497498,0.718323,-1.01402,-0.075439,-1.16956
-0.0371094,-0.839844,0.353027,-8.5625,-12.625,92,-0.421875,0.247742,-0.483765,0.725708,-1.02172,-0.0486193,-1.14871
-0.0493164,-0.856445,0.34375,-12.25,-11.8125,96.125,-0.421082,0.255798,-0.469299,0.732788,-1.03022,-0.020336,-1.12769
-0.059082,-0.814941,0.350586,-7.6875,-13.6875,105.563,-0.418579,0.262634,-0.454224,0.741272,-1.03369,0.00910995,-1.10467
-0.0561523,-0.819824,0.367188,-26.25,-17.6875,115.875,-0.418152,0.270996,-0.436523,0.749084,-1.04275,0.0409432,-1.07876
-0.0771484,-0.806152,0.349121,-40.625,-26.375,111.625,-0.420288,0.278931,-0.417908,0.755554,-1.05602,0.070269,-1.05142
-0.0307617,-0.812988,0.344238,-49.25,-39.0625,107.188,-0.424561,0.285156,-0.398438,0.761353,-1.07119,0.0960347,-1.02127
0.0166016,-0.835449,0.368164,-52.9375,-46.1875,119.25,-0.429077,0.29126,-0.376587,0.767639,-1.08636,0.124315,-0.9873
-0.0371094,-0.884277,0.353516,-49.75,-48.25,124.875,-0.432739,0.29718,-0.353699,0.774109,-1.09924,0.154596,-0.951946
-0.0712891,-0.900391,0.366699,-51.8125,-49.875,126.25,-0.436401,0.302917,-0.3302,0.780212,-1.11163,0.185543,-0.916153
-0.120117,-0.879883,0.38623,-51.625,-57.1875,131.563,-0.439819,0.307861,-0.305237,0.786499,-1.12211,0.217477,-0.877382
-0.182617,-0.911133,0.362305,-51.75,-66.3125,130.875,-0.443481,0.311401,-0.279358,0.792664,-1.13097,0.248441,-0.835827
-0.212891,-0.905273,0.349609,-51.125,-73.75,126.063,-0.447327,0.313232,-0.253418,0.798462,-1.13782,0.277016,-0.792451
