timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533863976463644,-3,-3,-2,-17,0,-2,1,-1
1533863976478604,2,-1,-2,-4,-5,-2,0,0
1533863976478604,1,-1,1,-3,6,0,1,0
1533863976478604,0,-2,0,11,-6,-1,-2,0
1533863976478604,-4,-3,-1,3,10,0,-3,-2
1533863976500757,-2,4,7,16,6,3,1,-1
1533863976500757,-1,-1,-3,-4,-14,-2,-3,-1
1533863976501543,0,-3,-12,-32,-3,-3,0,-1
1533863976501543,1,-2,-1,1,5,-1,-2,1
1533863976523550,0,-3,-4,-7,-5,-2,-5,-3
1533863976523550,-1,-2,3,17,3,2,-1,-1
1533863976524482,-3,-2,1,6,-1,0,-1,0
1533863976524482,1,-1,-4,-14,-6,-4,-1,0
1533863976538569,-1,-1,-2,9,4,-1,-1,-1
1533863976538569,0,0,-1,-10,-2,-2,0,-2
1533863976538569,0,-1,-1,-1,-2,-1,0,-2
1533863976538569,-3,0,-1,-3,0,-2,-1,0
1533863976560406,-2,-1,-2,8,-3,-3,0,-1
1533863976560406,0,-1,-4,-9,-3,-1,1,-2
1533863976561386,-1,-1,-1,-3,3,-1,0,-2
1533863976561386,0,1,2,8,0,-1,-2,-2
1533863976583328,-1,1,0,-1,-4,0,-1,0
1533863976583328,-1,-1,-2,-9,-3,-4,-1,-1
1533863976584322,-1,0,1,0,2,-1,-2,-1
1533863976584322,2,2,1,7,-1,1,0,-1
1533863976598284,0,-1,-3,3,4,-3,-2,-2
1533863976598284,-5,-3,-5,-7,-6,-3,-2,-1
1533863976598284,-2,-1,-1,3,-6,-2,-2,0
1533863976598284,-1,0,2,5,-2,-1,-1,1
1533863976620229,-2,0,-3,-14,0,1,-1,0
1533863976620229,3,1,3,15,-3,0,1,-1
1533863976621223,-1,-1,-4,-2,1,0,-1,-1
1533863976621223,-1,-1,-1,-11,-5,-1,0,-2
1533863976643164,0,-2,3,9,0,-3,1,-3
1533863976643164,-2,-1,-4,-16,7,1,-1,-3
1533863976644161,-1,-2,-4,-3,-6,-3,-1,-1
1533863976644161,-2,-1,-1,0,2,-1,-1,-2
1533863976657130,-1,1,1,10,-2,1,1,-2
1533863976657130,-2,1,3,-10,3,-1,-1,0
1533863976665107,0,1,1,8,-7,-1,-1,-1
1533863976665107,-2,0,1,-6,4,0,-2,-2
1533863976681063,-4,-4,-6,-5,1,-1,-3,0
1533863976681063,-1,-5,-6,-7,-1,-2,-2,0
1533863976681063,-1,1,0,3,4,0,0,-2
1533863976681063,-2,-1,-2,5,-3,-1,-1,-1
1533863976703011,-1,0,1,6,-5,-1,-1,-1
1533863976703011,0,1,2,11,-2,-1,0,0
1533863976704002,-2,-2,-3,-5,6,1,0,0
1533863976704002,0,-1,-2,-7,-3,-1,1,0
1533863976717967,-2,-2,-2,0,-1,-2,-1,-2
1533863976717967,-1,-2,4,8,-1,0,-2,-2
1533863976724949,1,-1,0,-10,2,-1,-1,-1
1533863976724949,0,-1,-3,-5,-7,-1,-2,-1
1533863976740902,-3,-2,-3,4,3,0,-1,-2
1533863976740902,-2,-1,-1,5,-4,0,1,-1
1533863976740902,-2,-2,1,8,0,0,-2,-1
1533863976740902,-1,-2,-6,-14,0,2,-1,-2
1533863976762845,0,0,0,-3,-8,-4,-1,-2
1533863976762845,-2,-2,-1,-5,1,-1,-3,-2
1533863976763848,-2,-2,0,3,-5,-2,0,-1
1533863976763848,0,-1,-1,-6,-5,-4,-1,-2
1533863976777804,-2,0,0,5,5,1,-1,-1
1533863976777804,0,0,-6,-13,1,1,0,1
1533863976784994,-1,-3,-2,-20,3,-2,-2,-2
1533863976784994,-1,-1,1,2,-4,-2,-2,0
1533863976800960,0,-3,-1,1,4,1,2,0
1533863976800960,-2,0,2,0,-3,-3,-3,-2
1533863976801774,-1,-1,1,-1,1,2,-2,-2
1533863976801774,-1,-1,-1,13,5,-3,-1,-2
1533863976822857,0,1,2,-5,-7,0,2,-1
1533863976822857,-4,-4,-4,17,-4,-4,-2,-3
1533863976823682,-1,-2,-6,-15,-3,-2,-1,-3
1533863976823682,-2,-3,-1,2,-3,-2,0,-1
1533863976837645,0,-1,-1,-5,4,1,-2,0
1533863976837645,1,2,2,-1,0,1,-1,0
1533863976844629,-3,0,-2,16,-7,-6,-3,-2
1533863976844629,-1,2,2,-28,-1,0,0,1
1533863976860586,-4,-3,-10,-24,-2,-4,-4,-1
1533863976860586,2,1,5,7,0,1,2,2
1533863976861580,-2,-3,-1,13,6,-1,-2,-2
