timestamp,roll,pitch,yaw
1533861572859331,-1.14084,-0.231388,3.13389
1533861572884263,-1.14102,-0.23082,3.13457
1533861572898226,-1.14055,-0.231037,3.13554
1533861572919171,-1.1411,-0.232295,3.13683
1533861572943108,-1.14211,-0.234015,3.13836
1533861572958077,-1.14354,-0.236502,3.14012
1533861572979010,-1.1445,-0.239018,3.14156
1533861573025925,-1.14512,-0.240682,-3.14005
1533861573026882,-1.14514,-0.241939,-3.13836
1533861573039847,-1.14451,-0.242913,-3.13677
1533861573063784,-1.14366,-0.243343,-3.13573
1533861573079742,-1.1439,-0.243089,-3.13484
1533861573100788,-1.14466,-0.242911,-3.13426
1533861573146562,-1.14524,-0.242239,-3.13405
1533861573147559,-1.14542,-0.241347,-3.13446
1533861573161522,-1.14558,-0.240548,-3.1348
1533861573181469,-1.14494,-0.239909,-3.13501
1533861573205420,-1.14264,-0.239559,-3.1345
1533861573228351,-1.14052,-0.24034,-3.13323
1533861573242308,-1.14032,-0.242045,-3.13113
1533861573259261,-1.14072,-0.244551,-3.12861
1533861573282200,-1.14069,-0.247854,-3.12532
1533861573302146,-1.14236,-0.253213,-3.12163
1533861573324091,-1.14881,-0.26048,-3.11694
1533861573342053,-1.1567,-0.267659,-3.11103
1533861573362005,-1.16676,-0.272558,-3.10411
1533861573383927,-1.17448,-0.276718,-3.09724
1533861573401879,-1.17378,-0.280431,-3.08837
1533861573421827,-1.16376,-0.278234,-3.08197
1533861573443772,-1.15073,-0.267906,-3.07567
1533861573461718,-1.14065,-0.24858,-3.06924
1533861573484658,-1.12354,-0.224292,-3.06306
1533861573504608,-1.1068,-0.199072,-3.0568
1533861573522575,-1.10089,-0.168737,-3.0442
1533861573541506,-1.09718,-0.135731,-3.02833
1533861573564444,-1.08539,-0.102902,-3.01228
1533861573582412,-1.06981,-0.0658727,-2.99505
1533861573601345,-1.05379,-0.0266224,-2.97555
1533861573624283,-1.04103,0.0103575,-2.95347
1533861573642236,-1.03176,0.0453157,-2.92659
