timestamp,x,y,z,w
1533861131667393,-0.00109863,0.542847,-0.829163,-0.133362
1533861131689334,-0.000793457,0.543152,-0.829041,-0.133118
1533861131704322,-0.000366211,0.54364,-0.828735,-0.132874
1533861131728242,0.00012207,0.544434,-0.828308,-0.132629
1533861131750172,0.000610352,0.544983,-0.827942,-0.132446
1533861131765132,0.00109863,0.54541,-0.827637,-0.132324
1533861131788070,0.00152588,0.545593,-0.827576,-0.132202
1533861131842923,0.00177002,0.545288,-0.82782,-0.131897
1533861131842923,0.00189209,0.544556,-0.828308,-0.131775
1533861131865862,0.00195313,0.54425,-0.828491,-0.131775
1533861131866869,0.0022583,0.544434,-0.82843,-0.131653
1533861131880827,0.00250244,0.544495,-0.82843,-0.13147
1533861131899993,0.00280762,0.544434,-0.828491,-0.131226
1533861131923711,0.00323486,0.544373,-0.828552,-0.13092
1533861131951636,0.00366211,0.544495,-0.828552,-0.130554
1533861131963601,0.00408936,0.544617,-0.828552,-0.130127
1533861131982554,0.0043335,0.544495,-0.828674,-0.129822
1533861131997510,0.00457764,0.544617,-0.828613,-0.129517
1533861132019454,0.00476074,0.544922,-0.828491,-0.129272
1533861132042396,0.00488281,0.545044,-0.82843,-0.129089
1533861132064335,0.00518799,0.545166,-0.828369,-0.128845
1533861132079291,0.00543213,0.54541,-0.828186,-0.128723
1533861132102230,0.0055542,0.545654,-0.828125,-0.12854
1533861132117193,0.00561523,0.545837,-0.828003,-0.128418
1533861132147110,0.00585938,0.546143,-0.82782,-0.128296
1533861132162074,0.00634766,0.546936,-0.827271,-0.128235
1533861132177029,0.00671387,0.548035,-0.826599,-0.128052
1533861132199969,0.00695801,0.548767,-0.826111,-0.127869
1533861132222139,0.00744629,0.549072,-0.825928,-0.127808
1533861132236873,0.00787354,0.549622,-0.8255,-0.12793
1533861132266793,0.00817871,0.550415,-0.825012,-0.128052
1533861132282752,0.00860596,0.551086,-0.824585,-0.12793
1533861132296710,0.00921631,0.551575,-0.824219,-0.127869
1533861132319652,0.0098877,0.55249,-0.823608,-0.127991
1533861132342590,0.010498,0.55365,-0.822815,-0.12793
1533861132358545,0.0108643,0.554504,-0.822266,-0.127869
1533861132379489,0.0113525,0.554993,-0.821899,-0.12793
1533861132402431,0.012207,0.555664,-0.821411,-0.127991
1533861132418386,0.0128174,0.556519,-0.820862,-0.127686
1533861132442321,0.0128174,0.556458,-0.820984,-0.12738
1533861132462285,0.0124512,0.555542,-0.821594,-0.127441
1533861132478239,0.012085,0.55481,-0.822021,-0.127808
1533861132499170,0.0120239,0.554993,-0.821838,-0.127991
1533861132522107,0.0120239,0.555847,-0.821289,-0.128174
1533861132539072,0.0119019,0.556213,-0.820984,-0.128357
1533861132567020,0.0117188,0.555908,-0.821167,-0.12854
1533861132581947,0.0118408,0.555359,-0.821533,-0.12854
1533861132599898,0.0118408,0.555359,-0.821594,-0.12854
1533861132619853,0.0118408,0.555298,-0.821594,-0.12854
1533861132641790,0.0120239,0.555542,-0.821411,-0.12854
1533861132658742,0.012085,0.555786,-0.821228,-0.128601
1533861132679686,0.012085,0.555786,-0.821228,-0.128601
1533861132701631,0.0120239,0.555603,-0.82135,-0.128601
1533861132718582,0.0119629,0.555481,-0.821472,-0.128601
1533861132739525,0.0119629,0.555481,-0.821472,-0.128601
1533861132762465,0.0119629,0.555481,-0.821472,-0.128601
1533861132780418,0.0119629,0.555481,-0.821472,-0.128601
1533861132799365,0.0119629,0.555481,-0.821472,-0.128601
1533861132822304,0.0117798,0.555054,-0.821716,-0.12854
1533861132840256,0.0117188,0.554871,-0.821899,-0.128418
1533861132859209,0.0117798,0.554932,-0.821899,-0.128418
1533861132882144,0.0117798,0.554932,-0.821838,-0.128418
1533861132905095,0.0117798,0.554688,-0.822021,-0.128296
1533861132920192,0.0115967,0.554138,-0.822449,-0.128235
1533861132943209,0.0113525,0.553833,-0.822632,-0.128235
1533861132959022,0.0113525,0.553833,-0.822632,-0.128235
