acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ori_x,ori_y,ori_z,ori_w,orie_x,orie_y,orie_z
0.312012,-0.889648,0.394531,1.3125,0.9375,-1.75,-0.0870972,0.549011,-0.818176,-0.147156,-1.15822,-0.308996,2.98864
0.309082,-0.880859,0.389648,0,0.875,-0.875,-0.0870972,0.549011,-0.818176,-0.147156,-1.15822,-0.308996,2.98864
0.312012,-0.884277,0.379883,-1.25,1.125,-0.5625,-0.0870361,0.549194,-0.817993,-0.1474,-1.15861,-0.309195,2.98821
0.314453,-0.89209,0.389648,-1.0625,1.3125,-0.25,-0.086853,0.549316,-0.817932,-0.147583,-1.15888,-0.309119,2.98774
0.313477,-0.892578,0.383301,0.25,1.9375,0.1875,-0.0866089,0.549255,-0.817932,-0.147766,-1.15864,-0.308892,2.98712
0.308594,-0.888672,0.38916,-0.3125,2.9375,0.8125,-0.0861206,0.549255,-0.817993,-0.147888,-1.15856,-0.308205,2.98637
0.307617,-0.885254,0.393555,-0.9375,2.75,0.625,-0.0856323,0.549255,-0.817993,-0.148132,-1.15844,-0.307648,2.9854
0.314453,-0.899902,0.396484,-0.3125,2.9375,0.5625,-0.085144,0.549194,-0.817993,-0.148315,-1.15816,-0.307002,2.9845
0.308105,-0.898926,0.398926,0.3125,2.8125,0.1875,-0.0847168,0.549011,-0.818115,-0.14856,-1.1576,-0.306515,2.98353
0.307617,-0.888672,0.404785,0.625,1.6875,0,-0.0844727,0.548767,-0.818298,-0.148743,-1.15694,-0.306263,2.98286
0.308105,-0.89502,0.40625,0.5625,1.125,0.0625,-0.0842896,0.548523,-0.818481,-0.148865,-1.15629,-0.306046,2.98235
0.304688,-0.900391,0.399414,0.1875,0.75,-0.0625,-0.0842896,0.548523,-0.818481,-0.148865,-1.15629,-0.306046,2.98235
0.304199,-0.891113,0.39209,1.125,0.625,-0.25,-0.0842285,0.54834,-0.818604,-0.148926,-1.15582,-0.305975,2.98211
0.30127,-0.884277,0.391602,1.375,0.5,-0.4375,-0.0842285,0.548096,-0.818726,-0.148987,-1.15519,-0.305991,2.9819
0.303223,-0.887207,0.39502,0.5625,0.125,-0.25,-0.0841675,0.548096,-0.818787,-0.148987,-1.15521,-0.305897,2.98185
0.307129,-0.896973,0.391602,-0.125,0.6875,-0.0625,-0.0841675,0.548096,-0.818726,-0.148987,-1.15518,-0.305886,2.98184
0.308594,-0.88916,0.390625,0.625,0.6875,0.375,-0.0842285,0.548096,-0.818726,-0.148987,-1.15519,-0.305991,2.9819
0.303711,-0.88623,0.39209,1.0625,1,0.4375,-0.0840454,0.547913,-0.818909,-0.148987,-1.15473,-0.305651,2.98164
0.308594,-0.88916,0.387207,0.6875,1.25,0.375,-0.0838623,0.547791,-0.81897,-0.149048,-1.15437,-0.30538,2.98128
0.308105,-0.891113,0.390137,0.1875,1.3125,0.5,-0.0836182,0.547791,-0.81897,-0.149109,-1.15432,-0.305031,2.9809
0.304199,-0.890625,0.397461,0.25,1.25,0.5625,-0.083374,0.547668,-0.819092,-0.149109,-1.15399,-0.304595,2.98059
0.301758,-0.896484,0.395996,-0.4375,1.0625,0.8125,-0.0830688,0.547729,-0.819092,-0.149109,-1.1541,-0.30409,2.98027
0.30957,-0.888672,0.404785,-0.5,1.375,0.625,-0.0828247,0.547668,-0.819153,-0.14917,-1.15391,-0.303732,2.97987
0.31543,-0.88916,0.402344,-1.1875,1.3125,0,-0.0827026,0.547729,-0.819092,-0.149414,-1.15401,-0.303811,2.97934
0.3125,-0.89209,0.398438,-1.625,1.3125,0.25,-0.0825195,0.547852,-0.81897,-0.149597,-1.15425,-0.303724,2.97886
0.300781,-0.895508,0.404297,-2.25,1.3125,0.0625,-0.0822144,0.548035,-0.818848,-0.149719,-1.15464,-0.303377,2.97838
0.303223,-0.900879,0.406738,-2.3125,0.4375,-0.125,-0.0820313,0.548279,-0.818665,-0.14978,-1.1552,-0.303178,2.97815
0.300781,-0.898438,0.402344,-0.4375,0.4375,-0.5625,-0.0820313,0.548279,-0.818726,-0.14978,-1.15522,-0.303189,2.97817
0.30127,-0.891602,0.400879,0.125,0.0625,-1,-0.0819702,0.548279,-0.818726,-0.14978,-1.15521,-0.303084,2.9781
0.30127,-0.892578,0.38916,-0.875,0.1875,-1.1875,-0.0820313,0.548401,-0.818604,-0.149963,-1.1555,-0.303416,2.97789
0.302734,-0.893555,0.393555,-0.8125,-0.25,-1.1875,-0.0820923,0.548523,-0.818481,-0.150085,-1.15578,-0.303679,2.97779
0.304199,-0.894531,0.401855,0.0625,-0.5,-1,-0.0820923,0.548462,-0.818481,-0.150085,-1.15561,-0.30366,2.97776
0.303711,-0.890137,0.396973,0.75,-0.3125,-1.3125,-0.0822754,0.54834,-0.818542,-0.150208,-1.15533,-0.304086,2.97771
0.310547,-0.88623,0.391602,0.6875,-0.125,-1.375,-0.0825195,0.548157,-0.818604,-0.150452,-1.15487,-0.304738,2.97749
0.311035,-0.891602,0.385254,-0.375,0.0625,-1.25,-0.0826416,0.548279,-0.818481,-0.150635,-1.15517,-0.305176,2.97735
0.310547,-0.89502,0.38623,-0.4375,0.25,-1.3125,-0.0827637,0.548401,-0.818359,-0.150879,-1.15546,-0.305684,2.97711
0.307617,-0.891602,0.387207,0.5625,0.1875,-1.125,-0.0828857,0.54834,-0.818359,-0.151001,-1.1553,-0.306014,2.97701
0.302734,-0.880371,0.388672,0.5625,0.625,-1.0625,-0.0828857,0.548218,-0.818359,-0.151184,-1.15495,-0.306186,2.97663
0.306152,-0.886719,0.391602,0.25,1,-1.0625,-0.0828247,0.548157,-0.81842,-0.151428,-1.15478,-0.306353,2.97613
0.311035,-0.892578,0.395996,0.1875,1.0625,-0.875,-0.0827637,0.548035,-0.81842,-0.151672,-1.1544,-0.30649,2.97558
0.310547,-0.894531,0.400391,0.8125,0.875,-0.625,-0.0828247,0.548035,-0.81842,-0.151733,-1.15441,-0.306665,2.97555
0.310059,-0.883789,0.397949,1.375,0.5625,-0.875,-0.0828857,0.547729,-0.818604,-0.151917,-1.15364,-0.306915,2.97519
0.308105,-0.885254,0.398438,1.25,0.5,-0.875,-0.0828857,0.547485,-0.818726,-0.152039,-1.15301,-0.306999,2.97488
0.308594,-0.885742,0.394531,0.1875,0.375,-0.875,-0.0829468,0.547485,-0.818726,-0.152039,-1.15302,-0.307104,2.97495
0.306152,-0.887695,0.404297,-0.75,0.3125,-0.6875,-0.0828857,0.547424,-0.818726,-0.152039,-1.15284,-0.306979,2.97484
0.308594,-0.89209,0.399902,-1.375,0.375,-1.0625,-0.0828857,0.547546,-0.818604,-0.152283,-1.1531,-0.307278,2.97447
0.310547,-0.891602,0.392578,-0.625,0.1875,-1.0625,-0.0830078,0.547668,-0.818542,-0.152466,-1.15343,-0.307726,2.97435
0.313965,-0.89209,0.392578,0.375,0.1875,-1,-0.0830078,0.547668,-0.818542,-0.152466,-1.15343,-0.307726,2.97435
0.312012,-0.890625,0.395508,1.125,0,-0.8125,-0.0831299,0.547485,-0.818604,-0.152588,-1.15296,-0.308028,2.97419
0.310059,-0.880859,0.393555,1.3125,0.1875,-0.9375,-0.083252,0.547241,-0.818726,-0.15271,-1.15235,-0.308321,2.97402
0.305664,-0.882324,0.395508,0.6875,-0.25,-0.6875,-0.083252,0.547241,-0.818726,-0.15271,-1.15235,-0.308321,2.97402
0.311035,-0.883789,0.404297,0.1875,-0.375,-0.5625,-0.083252,0.547241,-0.818726,-0.15271,-1.15235,-0.308321,2.97402
